shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
津门八大碗,4.5,1011,63,小白楼,天津菜,和平区
陆壹捌餐厅,4.7,5459,134,五大道,天津菜,和平区
乾宫精致私房菜,4.8,2457,93,五大道,私房菜,和平区
南洋餐室,4.8,4284,58,小白楼,南洋中菜,和平区
清鲜境意创意菜,4.9,660,99,海光寺/六里台,创意菜,和平区
云杉·木槿,4.9,4645,131,五大道,西餐,和平区
老酥匠·天津民间菜·烤肘子,4.7,2378,77,小白楼,天津菜,和平区
肘子酥,4.4,814,61,西康路沿线,天津菜,和平区
泰钰丰烤鸭,4.9,3550,109,海光寺/六里台,天津菜,和平区
徽菜名门,4.3,89,98,南市,徽菜,和平区
侘寂国宴私房菜,4.9,581,1307,和平路,私房菜,和平区
乾园,4.7,11138,86,和平路,苏浙菜,和平区
那家·油麻菜馆,4.8,446,96,海光寺/六里台,广州菜,和平区
上海年代,4.6,4081,96,小白楼,上海本帮菜,和平区
金牌餐厅,4.5,4130,67,滨江道,天津菜,和平区
九河香舍·民国文人菜,4.8,4639,134,五大道,天津菜,和平区
遇见芸台,4.8,3117,127,五大道,私房菜,和平区
锦楼 Seafood&Bar,4.8,2211,162,五大道,创意菜,和平区
郝奕博狮子头,4.8,950,62,南市,天津菜,和平区
娜娜家·nana's restaurant,4.9,8630,110,滨江道,西餐,和平区
青年公社,4.9,2598,95,小白楼,烤鸭,和平区
19号私房菜,4.5,2348,78,五大道,私房菜,和平区
汉巴味德,4.8,10045,92,滨江道,自助餐,和平区
大來食堂·新派津菜,4.6,264,88,西康路沿线,天津菜,和平区
六小馆·潮味酒馆,4.8,1707,78,五大道,创意菜,和平区
俄士厨房,4.9,5161,116,和平路,西餐,和平区
山河屯铁锅炖,4.3,205,84,海光寺/六里台,东北菜,和平区
南京大牌档,4.8,14884,67,小白楼,淮扬菜,和平区
晚酌·惜竹境,4.6,193,84,和平路,创意菜,和平区
老廣味道·正味粤菜,4.6,388,107,南市,广州菜,和平区
乡悦天下,4.9,3889,109,海光寺/六里台,湘菜,和平区
昱德来酒楼,4.4,4348,78,南市,天津菜,和平区
先启半步颠小酒馆,4.8,513,79,滨江道,川菜馆,和平区
津门羊大爷·铜锅涮肉,4.7,1833,86,西康路沿线,火锅,和平区
兰亭轩,4.5,617,136,海光寺/六里台,天津菜,和平区
八一三鸭子楼,4.0,1312,65,西康路沿线,天津菜,和平区
乾园,4.8,8970,82,滨江道,苏浙菜,和平区
2020清真菜,4.8,332,59,海光寺/六里台,特色菜,和平区
天津第一饭店·口口福酒楼,4.4,335,76,小白楼,天津菜,和平区
郝炉烤鸭,4.7,1219,103,南市,烤鸭,和平区
贰楼小院,4.8,5611,118,滨江道,私房菜,和平区
La Rossa花·蒔,4.9,563,132,和平路,西餐,和平区
六小馆·老味酒馆,4.8,1653,79,滨江道,私房菜,和平区
九寸钉·灼自助烤肉黑金概念店,4.6,2882,87,滨江道,自助餐,和平区
Nico in 融瑭,4.8,3696,106,五大道,西餐,和平区
那家·油麻菜馆,4.8,4510,107,五大道,私房菜,和平区
清真·西域榻榻幂,4.7,1317,90,海光寺/六里台,新疆菜,和平区
蜗小牛餐厅,4.9,1094,103,南市,牛排,和平区
川国演义,4.8,4545,106,海光寺/六里台,川菜馆,和平区
梨花自助烤肉,4.6,15907,75,和平路,自助餐,和平区
鲸岚·烧肉夜食,4.9,6106,146,五大道,融合烤肉,和平区
金掌勺·锅包肉,4.7,5032,82,和平路,东北菜,和平区
搂财妈妈手东北融小馆,4.6,679,70,西康路沿线,东北菜,和平区
宝轩渔府·鱼头泡饼,4.7,3255,108,南市,天津菜,和平区
原始部落烧烤·夜宵,4.9,4612,87,海光寺/六里台,烤串,和平区
莱檬餐厅lemon kitchen restaurants,4.6,396,34,西康路沿线,特色菜,和平区
接头暗号,4.7,2022,71,小白楼,川菜馆,和平区
晚酌,4.7,3436,108,和平路,浙菜,和平区
山上下居酒屋,4.9,5215,133,滨江道,日本料理,和平区
董堂小厨,4.6,2094,62,海光寺/六里台,东北菜,和平区
湘西人家,4.5,279,72,海光寺/六里台,湘菜,和平区
海之然日料海鲜自助,4.5,5777,127,和平路,自助餐,和平区
