shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
津门八大碗,4.5,1011,63,小白楼,天津菜
陆壹捌餐厅(五大道店),4.7,5459,134,五大道,天津菜
乾宫精致私房菜(五大道店),4.8,2457,93,五大道,私房菜
南洋餐室(开封道店),4.8,4284,58,小白楼,南洋中菜
清鲜境意创意菜(南京路店),4.9,660,99,海光寺/六里台,创意菜
云杉·木槿(五大道店),4.9,4645,131,五大道,西餐
老酥匠·天津民间菜·烤肘子(安徽路店),4.7,2378,77,小白楼,天津菜
肘子酥(同安道店),4.4,814,61,西康路沿线,天津菜
泰钰丰烤鸭(金融街店),4.9,3550,109,海光寺/六里台,天津菜
徽菜名门(南市店),4.3,89,98,南市,徽菜
侘寂国宴私房菜,4.9,581,1307,和平路,私房菜
乾园(天河城店),4.7,11138,86,和平路,苏浙菜
那家·油麻菜馆(海光寺店),4.8,446,96,海光寺/六里台,广州菜
上海年代(湖北路店),4.6,4081,96,小白楼,上海本帮菜
金牌餐厅(营口道店),4.5,4130,67,滨江道,天津菜
九河香舍·民国文人菜(五大道店),4.8,4639,134,五大道,天津菜
遇见芸台(先农大院店),4.8,3117,127,五大道,私房菜
锦楼 Seafood&Bar(五大道店),4.8,2211,162,五大道,创意菜
郝奕博狮子头(南市店),4.8,950,62,南市,天津菜
娜娜家·nana's restaurant(和平伊势丹店),4.9,8630,110,滨江道,西餐
青年公社(国贸店),4.9,2598,95,小白楼,烤鸭
19号私房菜(云南路店),4.5,2348,78,五大道,私房菜
汉巴味德(乐宾店),4.8,10045,92,滨江道,自助餐
大來食堂·新派津菜,4.6,264,88,西康路沿线,天津菜
六小馆·潮味酒馆(五大道店),4.8,1707,78,五大道,创意菜
俄士厨房(天河城店),4.9,5161,116,和平路,西餐
山河屯铁锅炖(万德庄店),4.3,205,84,海光寺/六里台,东北菜
南京大牌档(小白楼国贸店),4.8,14884,67,小白楼,淮扬菜
晚酌·惜竹境,4.6,193,84,和平路,创意菜
老廣味道·正味粤菜,4.6,388,107,南市,广州菜
乡悦天下(海光寺店),4.9,3889,109,海光寺/六里台,湘菜
昱德来酒楼(南市店),4.4,4348,78,南市,天津菜
先启半步颠小酒馆(滨江道店),4.8,513,79,滨江道,川菜馆
津门羊大爷·铜锅涮肉(昆明路店),4.7,1833,86,西康路沿线,老北京火锅
兰亭轩,4.5,617,136,海光寺/六里台,天津菜
八一三鸭子楼(和平店),4.0,1312,65,西康路沿线,天津菜
乾园(世纪都会店),4.8,8970,82,滨江道,苏浙菜
2020清真菜,4.8,332,59,海光寺/六里台,特色菜
天津第一饭店·口口福酒楼,4.4,335,76,小白楼,天津菜
郝炉烤鸭(南市店),4.7,1219,103,南市,烤鸭
贰楼小院(劲松里店),4.8,5611,118,滨江道,私房菜
La Rossa花·蒔(天河城店),4.9,563,132,和平路,西餐
六小馆·老味酒馆(四平东道店),4.8,1653,79,滨江道,私房菜
九寸钉·灼自助烤肉黑金概念店(和平大悦城店),4.6,2882,87,滨江道,自助餐
Nico in 融瑭(五大道店),4.8,3696,106,五大道,西餐
那家·油麻菜馆(先农大院店),4.8,4510,107,五大道,私房菜
清真·西域榻榻幂(和平印店),4.7,1317,90,海光寺/六里台,新疆菜
蜗小牛餐厅(荣安大街店),4.9,1094,103,南市,牛排
川国演义,4.8,4545,106,海光寺/六里台,川菜馆
梨花自助烤肉(天河城店),4.6,15907,75,和平路,自助餐
鲸岚·烧肉夜食(岳阳道店),4.9,6106,146,五大道,融合烤肉
金掌勺·锅包肉(天河城店),4.7,5032,82,和平路,东北菜
搂财妈妈手东北融小馆(和平店),4.6,679,70,西康路沿线,东北菜
宝轩渔府·鱼头泡饼(食品街店),4.7,3255,108,南市,天津菜
原始部落烧烤·夜宵(万德庄店),4.9,4612,87,海光寺/六里台,烤串
莱檬餐厅lemon kitchen restaurants,4.6,396,34,西康路沿线,特色菜
接头暗号(小白楼店),4.7,2022,71,小白楼,川菜馆
晚酌(天河城旗舰店),4.7,3436,108,和平路,浙菜
山上下居酒屋(世纪都会店),4.9,5215,133,滨江道,日本料理
董堂小厨(万德庄店),4.6,2094,62,海光寺/六里台,东北菜
湘西人家(南京路店),4.5,279,72,海光寺/六里台,湘菜
海之然日料海鲜自助,4.5,5777,127,和平路,自助餐
陈傻子餐厅(世纪都会店),4.7,7560,69,滨江道,天津菜
俄士厨房(和平大悦城店),4.9,1220,109,滨江道,西餐
吉祥至味·烤鸭创意菜(马场道店),4.8,7398,132,五大道,创意菜
大吉利·潮汕牛肉火锅 和平店,4.9,9587,94,滨江道,潮汕牛肉火锅
六顺福记茶楼(和平店),4.8,3310,91,五大道,茶餐厅
耳朵眼会馆(五大道店),4.8,720,307,五大道,天津菜
鲸岚·烧肉夜食南市店,4.9,1838,139,南市,融合烤肉
城里城外,4.6,303,69,南市,天津菜
将太无二(国贸购物中心餐厅),4.9,4551,140,小白楼,日本料理
熊见见噜噜煲,4.8,277,103,五大道,川菜馆
六顺福记茶楼(海信广场店),4.6,952,97,小白楼,茶餐厅
梨花牛肉汤(国贸店),4.5,295,40,小白楼,快餐简餐
三名草屋·苏面(浙江路店),4.6,198,142,小白楼,面馆
適園 宫廷菜,4.0,53,189,五大道,私房菜
村上一屋·日料寿司(天河城店),4.9,859,95,和平路,日本料理
南京大牌档(南京路世纪都会店),4.8,8772,66,滨江道,淮扬菜
117花园别墅,4.8,2032,362,五大道,上海本帮菜
南京大牌档(恒隆广场店),4.8,12310,69,和平路,淮扬菜
七爺想點就點(国贸购物中心店),4.8,3940,79,小白楼,茶餐厅
将太无二(环球金融中心餐厅),4.8,12136,168,和平路,日本料理
昱德来酒楼(和平店),4.4,3980,64,鞍山道沿线,天津菜
二番煮的客厅,4.9,1703,167,滨江道,日本料理
惊天日料·大福食堂,4.8,234,92,五大道,日本料理
鼎泰丰(恒隆广场店),4.8,5320,157,和平路,淮扬菜
旮旯海鲜和平店,4.6,752,119,和平路,海鲜
八号码头蒸汽海鲜(五大道店),4.8,2090,168,五大道,海鲜
外婆家(恒隆广场店),4.6,14227,67,和平路,浙菜
远成美悦大酒楼,4.3,427,132,海光寺/六里台,天津菜
