shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
桃子餐厅(王顶堤店),4.8,6488.0,68.0,王顶堤/华苑,天津菜
天津卫码头(南开大悦城店),4.7,9643.0,75.0,大悦城,天津菜
湖苑(天拖店),4.6,760.0,88.0,天拖地区,创意菜
小吊梨汤(南开大悦城店),4.8,13490.0,94.0,大悦城,京菜
津菜宋记老房子(鼓楼店),4.7,2305.0,74.0,老城厢/鼓楼,天津菜
天津卫码头(水上公园店),4.7,11435.0,77.0,水上/天塔,天津菜
陈傻子餐厅(奥城店),4.6,124.0,64.0,时代奥城,天津菜
兴源成饭庄,4.6,202.0,55.0,长虹公园,天津菜
桃子餐厅(鞍山西道店),4.7,3613.0,69.0,白堤路/风荷园,天津菜
俏炉酥皮烤鸭(南开店),4.9,514.0,100.0,南开公园/中学,天津菜
宴津门·天津菜(华苑店),4.3,129.0,80.0,王顶堤/华苑,天津菜
天津印象(王顶堤店),4.5,915.0,75.0,王顶堤/华苑,天津菜
刁馋一锅鲜·津门招牌菜(红旗路店),4.8,1739.0,75.0,天拖地区,天津菜
一蘭饭庄,4.5,778.0,88.0,咸阳路/黄河道,天津菜
云杉·膳好(奥城店),4.9,9463.0,107.0,时代奥城,特色菜
娜娜家·nana's restaurant(大悦城店),4.9,18099.0,106.0,大悦城,西餐
先启半步颠小酒馆(万科新都会店),4.8,101.0,83.0,天拖地区,川菜馆
Master Li富祥餐厅(凌奥店),4.9,1663.0,122.0,凌奥,特色菜
耳朵眼会馆(鼓楼店),4.8,8314.0,282.0,老城厢/鼓楼,天津菜
大铁勺酒楼(迎水道店),4.8,7689.0,77.0,王顶堤/华苑,天津菜
简坐(南开大悦城店),4.8,3637.0,95.0,大悦城,上海本帮菜
山上下居酒屋沉浸式体验馆(大悦城店),4.8,6058.0,132.0,大悦城,日本料理
卫鼎轩·曹公馆(城厢中路店),4.8,4091.0,233.0,老城厢/鼓楼,天津菜
湖苑(水上公园总店),4.9,4042.0,105.0,水上/天塔,天津菜
繁·醉花亭小酒馆(鼓楼店),4.8,1587.0,117.0,老城厢/鼓楼,私房菜
红旗饭庄(南开店),4.5,1913.0,89.0,密云路,天津菜
赶集院子(天塔店),4.5,1765.0,86.0,南开大学/八里台,天津菜
宋姨家的小锅炖(白堤路店),4.8,1694.0,49.0,白堤路/风荷园,天津菜
外婆家(南开大悦城店),4.5,18080.0,68.0,大悦城,浙菜
宝月楼台湾菜馆(鼓楼店),4.7,5782.0,125.0,老城厢/鼓楼,台湾菜
外婆家(鲁能购物中心店),4.7,5350.0,70.0,水上/天塔,浙菜
禧时茶餐馆,4.1,35.0,45.0,天拖地区,私房菜
津沽市集(华苑店),4.7,574.0,71.0,王顶堤/华苑,天津菜
清鲜境意创意菜(南京路店),4.9,660.0,99.0,海光寺/六里台,创意菜
湖太府私宴,4.4,135.0,120.0,老城厢/鼓楼,私房菜
