shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
富宴楼饭莊,4.4,483,76,挂甲寺,特色菜
四季·富祥餐厅,4.9,5414,121,宾水道/体院北,特色菜
杨氏壹锅(小海地店),4.3,479,71,小海地,天津菜
津沽市集(总店),4.7,1111,88,梅江小区,天津菜
鼎泰丰(天津万象城店),4.6,3312,165,文化中心,淮扬菜
玉玲珑·里舍(万象城店),4.9,3678,117,文化中心,上海本帮菜
杨氏壹锅·老味津菜(广东路店),4.5,911,60,永安道沿线,天津菜
津菜宋记老房子(黄埔南路店),4.5,2009,59,文化中心,天津菜
津菜典藏(人民公园店),4.7,10081,154,下瓦房,天津菜
津沽船宴,4.5,1053,83,围堤道沿线,天津菜
小猪查理川式烤肉(友谊路新业广场店),4.3,140,68,新业广场,烧烤烤串
宝月楼·台湾菜馆(下瓦房店),4.9,6045,128,下瓦房,台湾菜
泰钰丰烤鸭(永安道店),4.9,11747,106,永安道沿线,天津菜
德记粤味煲(河西店),4.8,123,63,尖山,打边炉/港式火锅
大吉利·潮汕牛肉火锅(河西店),4.9,16435,97,下瓦房,潮汕牛肉火锅
赶集院子(天塔店),4.5,1765,86,南开大学/八里台,天津菜
晚酌(梅江店),4.3,1114,119,梅江小区,特色菜
峰厨大鱼泡饼(小海地店),4.5,1131,79,小海地,特色菜
陈傻子餐厅(南楼店),4.6,2253,68,围堤道沿线,天津菜
六顺福记茶楼(万象城店),4.4,593,91,文化中心,其他中餐
青年公社(国贸店),4.9,2599,96,小白楼,烤鸭
云杉·西巷(广东路店),4.8,1005,99,永安道沿线,特色菜
陈家小院,4.8,649,54,围堤道沿线,川菜馆
燕兰楼,4.7,376,62,友谊路,西北民间菜
美心海鲜大酒楼,4.5,736,87,尖山,海鲜
干杯烤肉料理(新业广场店),4.8,415,81,新业广场,融合烤肉
大眼锅贴饺子(河西店),4.5,2075,58,文化中心,天津菜
北平院子,4.6,401,98,围堤道沿线,烤鸭
鱼翻天·豆腐石锅鱼(新业广场店),4.7,311,80,新业广场,鱼火锅
焖范儿(万象城店),4.6,471,78,文化中心,焖锅
疆味er(下瓦房总店),4.7,2976,61,下瓦房,新疆菜
通海俄式烧烤(下瓦房店),4.8,5400,86,下瓦房,烤串
津菜典藏河西店(水上店),4.5,4638,162,宾水道/体院北,天津菜
南京大牌档(小白楼国贸店),4.8,14885,66,小白楼,淮扬菜
宝轩渔府·海鲜(水上店),4.5,8080,105,宾水道/体院北,天津菜
津裕坊私家菜馆(平江道店),4.1,286,52,尖山,天津菜
鲜物唯煮打边炉(河西店),4.7,1501,144,梅江小区,打边炉/港式火锅
繁·醉花亭小酒馆(人民公园店),4.6,598,99,永安道沿线,私房菜
鱼酷活鱼烤鱼(新业广场店),4.8,3564,96,新业广场,烤鱼
青年公社(恒基店),4.9,833,91,友谊路,烤鸭
家的味道妈妈菜(小海地店),4.4,254,47,小海地,天津菜
太守宴·烤鸭(梅江店),4.0,294,133,梅江小区,烤鸭
查干湖铁锅炖鱼,4.6,148,77,梅江小区,东北菜
九龙壹号·融合菜,4.0,20,,河西区,特色菜
花和日式寿喜锅自助专门店(万象城店),4.8,786,166,文化中心,日式自助
津门羊大爷·铜锅涮肉(南北大街店),4.7,340,77,挂甲寺,炭火锅
天天初二·国潮津门菜馆(气象台路店),4.8,518,44,宾水道/体院北,天津菜
乡悦天下(友谊路店),4.9,308,111,友谊路,湘菜
正阳春鸭子楼(解放南路店),4.5,1096,68,尖山,天津菜
源味湘水人家湘菜(和悦汇店),4.8,80,73,尖山,湘菜
这些年羊腿汤(总店),4.9,3727,58,宾水道/体院北,烧烤烤串
阿瓦山寨(体北道店),4.4,1718,76,宾水道/体院北,湘菜
碗味餐厅·精致天津味(和悦汇店),4.7,93,57,尖山,天津菜
两室一厅老味道(绥江道店),4.5,536,68,梅江小区,天津菜
接头暗号(小海地店),4.5,768,79,小海地,川菜馆
太守宴·蘭院,4.5,141,129,宾西,特色菜
津门羊大爷·铜锅涮肉(小海地店),4.7,2031,87,小海地,老北京火锅
陆壹捌餐厅(气象台路店),4.7,379,93,围堤道沿线,天津菜
肘子酥(爱国道店),4.7,1384,58,挂甲寺,天津菜
芳竹园火锅(怡乐天地店),4.8,260,64,下瓦房,四川火锅
砂锅李(梅江津门湖店),4.1,386,89,梅江小区,天津菜
宝轩渔府·海鲜(永安道店),4.3,279,155,永安道沿线,天津菜
青年餐厅(万象城店),4.4,10277,106,文化中心,烤鸭
粤品轩,3.9,108,117,小海地,粤菜馆
小鲜肉私房铜锅涮羊肉,4.9,1148,83,宾西,老北京火锅
渔街烤铺·海鲜烤肉(怡乐天地店),4.0,47,135,下瓦房,融合烤肉
苏帮袁Sue Cuisine(万象城店),4.9,2155,134,围堤道沿线,淮扬菜
清真·西域榻榻幂(和悦汇店),4.8,1837,80,尖山,新疆菜
青岛菜馆,3.6,198,72,下瓦房,鲁菜
渔街烤铺·海鲜烤肉(和悦汇店),4.9,589,128,尖山,融合烤肉
津菜宋记老房子(平山道店),4.6,1360,67,宾水道/体院北,天津菜
润霖侯赛蕾火锅鸡(隆昌路店),4.8,1795,76,下瓦房,本地鸡窝火锅
德粤楼·猪肚鸡(马场道店),4.6,270,99,佟楼,顺德菜
昱德来菜馆(河西店),4.4,5235,58,图书大厦,天津菜
津门羊大爷·铜锅涮肉(永安道店),4.6,955,97,永安道沿线,老北京火锅
二姐家酱烧水库大鲤鱼(珠江道店),4.1,99,68,小海地,家常菜
