shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
津沽小院(河北店),4.7,2657.0,74.0,中山路,农家菜
食味酒味·私厨小酒馆,4.9,1018.0,99.0,铁东路街,特色菜
禧(德云店),4.8,1733.0,61.0,狮子林大街,日本料理
登瀛楼(河北直营店),2.9,39.0,87.0,狮子林大街,鲁菜
天津印象(王串场店),4.5,464.0,71.0,王串场/民权门,天津菜
渔香小磨(榆关道店),4.6,1565.0,73.0,天泰路/榆关道,天津菜
津菜典藏(天津之眼店),4.5,12133.0,184.0,中山路,天津菜
净·瑶台,4.8,626.0,154.0,意大利风情区/火车站,湘菜
市井烤肉(榆关道店),4.1,200.0,62.0,天泰路/榆关道,融合烤肉
合家院(榆关道),4.2,184.0,64.0,天泰路/榆关道,鲁菜
楊氏壹鍋(河北店),4.6,1407.0,57.0,狮子林大街,天津菜
肘子酥(天泰路店),4.8,1916.0,65.0,天泰路/榆关道,天津菜
好嘢港式街头火锅(河北店),4.8,223.0,94.0,意大利风情区/火车站,打边炉/港式火锅
那都不是锅港式打边炉(天津总店),4.7,3288.0,127.0,狮子林大街,打边炉/港式火锅
津悦东方•天津烤鸭店(中山路店),4.8,445.0,84.0,中山路,天津菜
人民公社大食堂(宜白路店),4.7,1095.0,65.0,铁东路街,东北菜
聚海楼家常菜(德云社店),3.9,67.0,50.0,意大利风情区/火车站,天津菜
刁馋一锅鲜·津门招牌菜(真理道店),4.8,1554.0,62.0,王串场/民权门,天津菜
兴隆菜馆(王串场五号路店),4.7,144.0,54.0,王串场/民权门,天津菜
普天和(中山路店),4.1,3176.0,70.0,中山路,天津菜
屯老二农家铁锅炖(榆关道店),4.8,2742.0,84.0,天泰路/榆关道,东北菜
上海年代(意式风情街店),4.7,3447.0,93.0,意大利风情区/火车站,上海本帮菜
喜在山舍·老宅吊锅·川卤酒馆(狮子林大街店),4.8,586.0,111.0,狮子林大街,重庆火锅
袁府酒楼,4.2,1710.0,102.0,中山路,天津菜
和庆斋羊蝎子火锅,4.6,182.0,79.0,狮子林大街,羊蝎子火锅
九福酒楼(金纬路店),4.4,2378.0,83.0,中山路,天津菜
润泽园饭庄(中山路店),4.5,1702.0,67.0,中山路,天津菜
量食局,4.2,153.0,95.0,常州道,家常菜
太亨酒楼,4.2,278.0,65.0,铁东路街,海鲜
利丰源烤羊腿(河北店),3.7,5.0,,狮子林大街,烤羊腿
老邻居,4.6,1129.0,71.0,王串场/民权门,农家菜
哞者·小木炭烤肉,4.8,436.0,74.0,天泰路/榆关道,融合烤肉
