shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
同发号饭庄(复兴路店),4.6,3102,72,芥园道/复兴路,天津菜
清真·贵发顺小久馆,4.9,1636,70,本溪路/丁字沽,天津菜
天津家宴(复兴路店),4.1,43,68,芥园道/复兴路,天津菜
热海饭庄,4.6,928,106,本溪路/丁字沽,天津菜
清真·贵发顺(中环店),4.8,1422,76,本溪路/丁字沽,天津菜
宝轩渔府·海鲜(红桥芥园道店),4.6,3561,100,芥园道/复兴路,天津菜
天津乾毓德饭庄·清真传统炒菜·海鲜烧烤,4.7,3159,84,芥园道/复兴路,海鲜
进家门饭店,4.6,690,63,本溪路/丁字沽,天津菜
渝湘江南(丁字沽店),4.8,718,73,本溪路/丁字沽,川菜馆
蟹府(古文化街店),4.7,488,436,大胡同/天津之眼,特色菜
登悦酒楼(丁字沽一号路店),4.3,1746,60,本溪路/丁字沽,天津菜
汇泽佳宴,4.8,324,86,凯莱赛/西沽,广州菜
清真宴賓樓(芥园西道店),4.8,2717,118,芥园道/复兴路,天津菜
仟禧家宴(西青道店),3.9,325,60,邵公庄/创意街,天津菜
玉玲珑(陆家嘴店),4.8,2912,88,芥园道/复兴路,浙菜
肘子酥(水木天成店),4.6,609,55,创意街/水木天成,天津菜
清真·古丽花儿·新疆特色风味火锅·夜宵(西北角店),4.9,564,79,芥园道/复兴路,火锅
同发号饭馆,4.3,167,54,创意街/水木天成,天津菜
清真古丽花儿·新疆美食(西北角店四店),4.9,650,69,鹏欣水游城/大丰路,新疆菜
红旗饭庄(红桥店),4.3,1872,91,本溪路/丁字沽,天津菜
三江源活鱼现烤(红桥欧亚达店),4.9,1516,69,天津西站/欧亚达,烤鱼
刁馋一锅鲜·津门招牌菜(水游城店),4.8,958,70,鹏欣水游城/大丰路,天津菜
芳竹园火锅(欧亚达店),4.9,1027,67,邵公庄/创意街,四川火锅
燕春楼饭庄(大胡同店),4.4,1904,112,大胡同/天津之眼,天津菜
川鲁饭庄(本溪路店),4.3,426,53,本溪路/丁字沽,其他中餐
韵景·食宴(芥园道店),4.4,226,76,芥园道/复兴路,特色菜
同发号饭庄(复兴路二店),4.1,115,75,芥园道/复兴路,天津菜
津创九寸钉·料理级自助炭火烤肉(陆家嘴店),4.6,5023,80,鹏欣水游城/大丰路,自助餐
家福轩食府,4.6,266,52,邵公庄/创意街,天津菜
吉园里·秘肴家(水游城店),4.6,211,73,鹏欣水游城/大丰路,东北菜
鱼酷活鱼烤鱼(红桥欧亚达店),4.9,4453,79,天津西站/欧亚达,烤鱼
伊品川湘烤鱼店,3.5,3,,本溪路/丁字沽,烤鱼
九田家黑牛烤肉料理(欧亚达店),4.6,1404,101,天津西站/欧亚达,韩式烤肉
老七饭馆(光荣道店),4.6,1724,62,本溪路/丁字沽,家常菜
正阳春鸭子楼(洪湖里),4.6,791,75,本溪路/丁字沽,天津菜
惠丰阁饭庄,4.4,1380,74,大胡同/天津之眼,天津菜
利德顺小老饭庄(西马路总店),3.9,4187,85,芥园道/复兴路,天津菜
醉泉酒楼,4.5,165,58,邵公庄/创意街,特色菜
天津百饺园酒楼(红桥店),4.4,2758,75,红桥区,天津菜
德贤烧麦菜馆,4.7,574,58,本溪路/丁字沽,天津菜
川鲁饭庄(丁字沽店),3.9,242,56,本溪路/丁字沽,其他中餐
清真域见新疆美食,4.5,495,60,芥园道/复兴路,新疆菜
清真蜀风园饭店(中嘉店),4.7,200,38,红桥区,天津菜
韩江一头牛烤肉店·夜宵,4.3,298,94,本溪路/丁字沽,韩式烤肉
知酒浓·深夜酒馆(芥园西道店),4.8,528,91,芥园道/复兴路,特色菜
鸿福轩饭庄,3.6,68,55,创意街/水木天成,天津菜
祖母的魔法厨房(陆家嘴店),4.8,6555,80,芥园道/复兴路,西餐
清真利德顺小老饭庄(复兴路店),4.2,1409,69,芥园道/复兴路,天津菜
轩哥东北菜馆,3.7,1,,芥园道/复兴路,东北菜
多嘴肉蟹煲(水游城店),4.7,2015,77,鹏欣水游城/大丰路,肉蟹煲
世顺居,4.1,150,68,凯莱赛/西沽,天津菜
忠食,4.6,228,70,创意街/水木天成,创意菜
海底捞火锅(陆家嘴店),4.9,4322,99,芥园道/复兴路,四川火锅
云南原生态石锅坊(丁字沽光荣道店),4.6,69,87,本溪路/丁字沽,鱼火锅
蒋记家宴,4.5,97,43,芥园道/复兴路,家常菜
韩丽轩自助烤肉餐厅,4.2,2455,75,本溪路/丁字沽,烧烤烤串
玺越多彩·津鲁菜,4.2,85,75,大胡同/天津之眼,天津菜
大明铜锅(总店),4.6,600,106,芥园道/复兴路,老北京火锅
西北角阿米尔新疆烤包子,4.7,230,14,鹏欣水游城/大丰路,新疆菜
孟村张旦纯羊汤炭烤羊腿,4.8,763,104,芥园道/复兴路,烤羊腿
仙客来酒楼(和苑店),4.5,717,50,红桥区,天津菜
清真天丽源老味菜馆,4.3,329,86,芥园道/复兴路,特色菜
清真蜀风园,4.4,1456,57,本溪路/丁字沽,天津菜
牛一锅筋头巴脑一锅香(大胡同店),4.1,542,58,大胡同/天津之眼,火锅
萌啊莫·慈素西餐厅(丁字沽店),4.9,1749,103,本溪路/丁字沽,素食
