shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
顺兴德•天津菜(旗舰店),4.8,1413,68,程林,天津菜
津沽小院(河东店),4.6,1221,59,大直沽,天津菜
津沽宴,4.2,422,91,中山门,特色菜
桃子餐厅(红星路店),4.6,3891,68,常州道,天津菜
利德顺小老饭庄(河东店),4.4,1000,94,卫国道,天津菜
聚宝德清真饭庄,4.8,360,45,富民路,特色菜
宝乐府,4.6,310,58,太阳城,天津菜
津鲁家宴,4.2,45,79,大直沽,鲁菜
繁·醉花亭小酒馆(未来广场店),4.8,661,100,天津站,私房菜
玖融湖院(河东六纬路店),4.6,263,104,大王庄,特色菜
正月十五(河东店),4.5,255,85,卫国道,特色菜
宝德隆直沽码头(富民路店),4.4,1046,85,富民路,海鲜
俏炉酥皮烤鸭(河东店),4.9,1264,111,大王庄,天津菜
又一顺饭店,4.7,877,86,中山门,天津菜
金厨普天和酒楼(太阳城店),4.8,4221,81,太阳城,西北民间菜
人民公社大食堂(卫国道店),4.3,313,78,卫国道,东北菜
宴津轩·融合菜·传统捞面·家常菜,4.0,17,,区政府,特色菜
喜泰来毛血旺,3.6,5,,大王庄,川菜馆
登瀛楼饭庄旗舰店,4.6,1009,91,卫国道,鲁菜
裕德隆饭庄(河东店),4.4,666,86,工业大学,天津菜
明燊泥炉烤肉,3.7,33,85,太阳城,融合烤肉
京都大宅门(新开路店),4.6,1542,151,天津站,京菜
通庆楼,4.5,1361,155,天津站,粤菜馆
炙犇牛炭火烤肉,3.7,3,,万新村,韩式烤肉
屯老二农家铁锅炖(富民路店),4.6,2198,104,富民路,东北菜
汉江山料理级自助烤肉(爱琴海店),4.5,1219,80,上杭路街/河东万达,自助餐
聚瀛食府(梓塘婚礼堂河东店),4.0,923,76,太阳城,天津菜
大吉利·潮汕牛肉火锅(河东万达店),4.9,4810,91,上杭路街/河东万达,潮汕牛肉火锅
正阳春鸭子楼(太阳城店),4.3,679,72,太阳城,天津菜
阿瓦山寨印象店(大王庄店),4.7,3000,81,大王庄,特色菜
王老六铁锅炖鱼(津塘路店),4.8,100,80,大直沽,东北菜
肘子酥新派川菜(万新村店),4.5,709,61,万新村,天津菜
辣拾一老火锅·涮烤主题餐厅,4.0,15,,大王庄,火锅
陈傻子餐厅(嘉里汇店),4.5,4944,70,大王庄,天津菜
登瀛楼饭庄(天星河畔店),4.3,3306,90,大王庄,天津菜
峰厨大鱼泡饼(太阳城店),4.4,373,91,太阳城,特色菜
恭喜发財港式打边炉(恒星世界店),4.5,496,90,区政府,打边炉/港式火锅
宴宾楼(爱琴海店),4.7,6440,91,上杭路街/河东万达,天津菜
鼎旺府饭店,4.7,587,53,大王庄,鲁菜
人民公社大食堂(成林道店),4.2,169,60,工业大学,东北菜
青阳宫 · 铜锅涮肉(天山路店),4.8,2030,68,程林,老北京火锅
鲜行天下(海鲜自助),4.2,695,115,上杭路街/河东万达,自助餐
老邻居,4.6,1129,71,王串场/民权门,农家菜
赢顺阁饭庄,4.5,253,80,大王庄,天津菜
喜洋洋大酒楼·鱼头泡饼,4.1,1843,79,工业大学,天津菜
军垦宾馆-新疆风味餐厅,4.8,3812,81,天津站,新疆菜
屯老二农家铁锅炖(江都路店),4.5,1334,89,常州道,东北菜
大年初二娘家菜(津塘路店),4.2,211,50,大直沽,家常菜
怡祥名邸大酒楼(太阳城店),4.5,447,70,太阳城,天津菜
北塘海鲜大酒楼(大光明桥旗舰店),4.8,2292,231,大王庄,海鲜
东北老铁锅炖鱼,4.7,650,88,工业大学,东北菜
大渔铁板烧(爱琴海店),4.8,3831,222,上杭路街/河东万达,日式铁板烧
欢喜烤肉,3.8,13,,中山门,融合烤肉
芳竹园火锅(东丽汇城广场店),4.7,98,63,区政府,四川火锅
小菜园新徽菜(天津河东爱琴海店),3.7,15,65,上杭路街/河东万达,徽菜
大灶台铁锅炖鱼,4.7,652,113,大直沽,东北菜
新煮意(八纬路店),4.8,10547,99,大王庄,酸菜鱼/水煮鱼
刁馋一锅鲜·津门招牌菜(汇城广场店),4.6,991,71,区政府,天津菜
娜娜家·Nana’s restaurant(爱琴海店),4.9,2025,110,上杭路街/河东万达,西餐
羊老赞铜锅涮羊肉(龙潭路店),3.8,11,,中山门,牛羊肉火锅
大锅台炖鱼炖家禽,4.4,234,91,上杭路街/河东万达,东北菜
东起顺(大直沽旗舰8店),4.1,269,51,大直沽,天津菜
益尚鲜火锅鸡·夜宵(万新村店),4.6,177,49,万新村,本地鸡窝火锅
村上一屋(河东万达店),4.9,791,89,上杭路街/河东万达,日本料理
8405津鲁菜馆(汇城广场店),4.3,263,70,区政府,鲁菜
源味湘水人家湘菜(中山门店),4.7,401,92,中山门,湘菜
芳竹园火锅(河东万达店),4.8,1669,68,上杭路街/河东万达,四川火锅
人民公社大食堂(雪莲路店),4.3,112,59,区政府,东北菜
赤羽山岚炭烧烤肉,4.0,8,,富民路,融合烤肉
纸尚有一切纸上烧烤(中山门店),4.8,1419,70,中山门,融合烤肉
山上下日式烤肉(爱琴海店),4.7,107,146,上杭路街/河东万达,日式烧烤/烤肉
炭火味·齐齐哈尔家庭烤肉,4.6,146,72,大王庄,融合烤肉
一坐一忘云南菜(嘉里汇店),4.8,9730,113,大王庄,云南菜|滇菜
胡八一烤肉,4.7,396,77,太阳城,融合烤肉
沽尚民福.烤鸭,4.1,1133,84,大直沽,烤鸭
良恬炭火烤肉(万新村店),4.6,114,76,万新村,韩式烤肉
禾粤汇,4.5,55,83,天津站,粤菜馆
阿木饭店·新疆美食,4.3,107,62,常州道,新疆菜
津门羊大爷·铜锅涮肉(万东路店),4.4,275,94,卫国道,牛羊肉火锅
聚十三烤肉博物馆(远洋未来店),4.7,301,86,天津站,融合烤肉
悦源春海鲜火锅(河东店),4.0,134,152,富民路,海鲜火锅
吉布鲁牛排海鲜自助(河东爱琴海店),4.6,5848,78,上杭路街/河东万达,自助餐
京城帝一锅羊蝎子火锅烤鱼(先锋路店),4.0,37,75,区政府,羊蝎子火锅
领头羊,4.4,704,72,富民路,烧烤烤串
聚缘德咱家铁锅炖鱼,4.6,216,69,中山门,东北菜
齐齐哈尔炭火烤肉海鲜烧烤,3.7,38,100,区政府,融合烤肉
新煮意(恒星店),4.8,3105,86,区政府,酸菜鱼/水煮鱼
大年初二娘家菜(中山门店),4.2,308,57,中山门,家常菜
无量寿素食餐厅,4.8,721,72,王串场/民权门,素食
桢炭烤肉(新开路店),4.9,1053,86,天津站,融合烤肉
津厨名灶大鱼泡饼,3.6,49,67,太阳城,特色菜
盛辛巴·东北炭火烤肉(河东店),4.8,550,75,大直沽,融合烤肉
燕子食府,4.6,608,69,区政府,其他美食
八号码头蒸汽海鲜(河东店),4.8,535,183,大王庄,海鲜
荐福膳素餐厅(荐福道店),4.8,1274,76,大直沽,素食
豫烩轩,4.6,568,53,天津站,其他中餐
悦林湾纸包鱼(中山门店),4.4,93,52,中山门,烤鱼
原始部落烧烤·夜宵(未来广场店),4.9,1209,72,天津站,烧烤烤串
半天妖烤鱼(嘉华国际店),4.6,71,64,天津站,烤鱼
齐齐哈尔家庭烤肉(河东万达广场店),3.8,33,,上杭路街/河东万达,融合烤肉
渔夫湾蒸汽海鲜(东丽店),4.6,386,167,区政府,海鲜
良恬炭火烤肉(天津总店),4.8,501,82,中山门,韩式烤肉
渝湘江南(王串场店),4.7,2796,71,王串场/民权门,川菜馆
探锅炭火牛蛙•火锅鸡(太阳城店),3.9,150,78,太阳城,火锅
大东北农家院木火灶台鱼(香山道店),3.8,155,65,程林,东北菜
市井烤肉(大直沽店),4.5,62,50,大直沽,融合烤肉
吮指蟹钳,3.5,1,,天津站,海鲜
鸟匠居酒屋(未来广场店),4.6,423,92,天津站,日本料理
眼镜火锅鸡(河东店),4.2,30,,大直沽,本地鸡窝火锅
小媳妇铁锅炖鱼(利津路店),3.8,227,76,区政府,东北菜
肘子酥(中山门广宁路店),4.2,405,63,中山门,天津菜
绿色庄园(天津爱琴海店),4.8,1222,103,上杭路街/河东万达,韩国料理
津沽小院(嵩山道店),3.9,302,65,程林,天津菜
孟村张旦烤羊腿,3.8,38,69,天津站,烤羊腿
山久食處日本料理,4.6,312,106,富民路,日本料理
青年公社(万达店),4.5,6606,92,大直沽,烤鸭
顺发德饭庄·清真,4.2,143,48,大王庄,其他中餐
大通会馆,4.6,646,80,工业大学,特色菜
巴依老爷新疆美食(爱琴海购物公园店),4.7,3984,77,上杭路街/河东万达,新疆菜
義聚德涮羊肉·烧烤(河东店),4.6,450,88,大王庄,烧烤烤串
财帛宫·鱼头泡饼,4.2,259,117,卫国道,烤鸭
恩来顺,3.5,37,87,太阳城,老北京火锅
