shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
津沽沁园(中北店),4.8,3962.0,74.0,中北镇,天津菜
天津卫码头(印象城店),4.6,3648.0,73.0,大寺,天津菜
四季餐厅(华苑店),4.9,1779.0,109.0,西青大学城,创意菜
沽裡 · 津菜,4.6,265.0,76.0,华苑科技园,天津菜
Master Li四季餐厅,4.8,1176.0,119.0,大寺,特色菜
Master Li富祥四季餐厅·天津融合菜,4.8,1124.0,121.0,张家窝/天津南站,天津菜
何必在山林(智慧山店),4.9,789.0,118.0,华苑科技园,福建菜
熙和家宴(瑶环路店),4.5,1184.0,91.0,凌奥,天津菜
津菜典藏(中北镇店),4.8,2430.0,192.0,中北镇,天津菜
Master Li富祥餐厅(凌奥店),4.9,1663.0,122.0,凌奥,特色菜
唐城食府(张家窝店),4.0,586.0,79.0,张家窝/天津南站,特色菜
乾福·天津味道(华苑店),4.6,1949.0,95.0,西青大学城,天津菜
石府老味道(青致路店),4.0,334.0,77.0,杨柳青,天津菜
登瀛楼,3.6,22.0,,中北镇,天津菜
宝轩渔府·海鲜(友谊南路店),4.7,933.0,127.0,大寺,天津菜
刁馋一锅鲜·津门招牌菜(社会山店),3.9,95.0,69.0,张家窝/天津南站,天津菜
大铁勺酒楼(迎水道店),4.8,7686.0,77.0,王顶堤/华苑,天津菜
1948文化创意餐厅,3.7,6.0,,杨柳青,天津菜
翠钰清波餐厅,4.2,34.0,102.0,杨柳青,烤鸭
渝湘江南(社会山店),4.6,77.0,70.0,张家窝/天津南站,川菜馆
湘芸(大津城店),3.5,15.0,,凌奥,湘菜
大铁勺酒楼(中北永旺店),4.8,5496.0,72.0,中北镇,天津菜
静若繁花小酒馆,4.8,806.0,100.0,中北镇,私房菜
福嘉•家宴酥皮烤鸭,4.0,20.0,73.0,西青区,烤鸭
八号码头蒸汽海鲜(南站店),4.1,55.0,200.0,张家窝/天津南站,海鲜
娜娜家(智慧山店),4.8,925.0,91.0,西青大学城,西餐
湖苑·碧水(侯台店),4.7,653.0,113.0,华苑科技园,特色菜
人民公社大食堂(西青道店),3.6,10.0,,杨柳青,东北菜
厚厨•顺德菜(华苑智慧山店),4.1,226.0,121.0,王顶堤/华苑,顺德菜
监烤师烤肉正宗齐齐哈尔烤肉(总店),4.8,940.0,88.0,凌奥,融合烤肉
老城味道主题餐厅(杨柳青店),4.4,967.0,72.0,杨柳青,天津菜
老城味道主题餐厅(武台店),4.5,499.0,82.0,凌奥,天津菜
厚厨·粤菜(旗舰店),4.7,877.0,82.0,凌奥,打边炉/港式火锅
大福烤肉,3.8,17.0,,张家窝/天津南站,融合烤肉
春和·悦 享食餐厅,4.7,762.0,175.0,王顶堤/华苑,特色菜
淮雅阁江浙菜(张家窝店),3.6,58.0,113.0,张家窝/天津南站,苏浙菜
美豪丽致•香汀餐厅,3.9,14.0,,大寺,创意菜
砂锅李(梅江津门湖店),4.1,386.0,89.0,梅江小区,天津菜
九田家黑牛烤肉料理(西青大学城店),4.1,412.0,106.0,西青大学城,融合烤肉
玉华台创意餐厅(云锦世家店),4.6,148.0,75.0,华苑科技园,特色菜
渔北烤铺·海鲜烤肉(中北镇店),4.5,111.0,87.0,华苑科技园,融合烤肉
津采•烤鸭(梅江店),4.7,1793.0,132.0,梅江会展中心,天津菜
锦上餐厅·湖畔店,4.6,56.0,151.0,梅江会展中心,特色菜
半天妖烤鱼(张家窝大物美店),4.8,213.0,79.0,张家窝/天津南站,烤鱼
屯老二农家铁锅炖(张家窝店),4.5,500.0,84.0,张家窝/天津南站,东北菜
谭家六道菜(城建店),4.5,215.0,98.0,华苑科技园,京菜
芳竹园火锅(大津城店),4.8,263.0,59.0,凌奥,四川火锅
半天妖烤鱼(杨柳青物美店),4.8,371.0,72.0,杨柳青,烤鱼
淮雅阁江浙菜(辛口店),3.9,21.0,,西青区,苏浙菜
正月十五(中北店),4.4,1024.0,93.0,中北镇,特色菜
頭壹鸣市井火锅鸡(杨柳青店),3.7,30.0,68.0,杨柳青,炭火锅
梨花自助烤肉(梅江永旺店),4.6,4638.0,77.0,大寺,烧烤烤串
津悦东方•天津烤鸭店(中北店),4.3,738.0,77.0,中北镇,天津菜
Los Tapas蘭心·西班牙小馆,4.7,783.0,113.0,西青大学城,西餐
芳竹园火锅(中北镇店),4.8,654.0,63.0,中北镇,四川火锅
众香缘铁锅炖(西青大学城店),4.1,201.0,55.0,小南河,东北菜
赫斯提娅新疆主题餐厅(云锦世家店),4.9,1901.0,74.0,中北镇,新疆菜
云南蒸汽石锅鱼,3.5,1.0,,中北镇,鱼火锅
津天府酒楼,3.8,11.0,,中北镇,天津菜
抖厨御味·淮扬菜(张家窝店),3.7,49.0,122.0,张家窝/天津南站,淮扬菜
羊庄故事(王稳庄店),3.6,25.0,89.0,王稳庄,牛羊肉火锅
焖了个锅(社会山店),4.5,888.0,85.0,张家窝/天津南站,焖锅
拾肆號巷子(社会山购物中心店),4.5,809.0,78.0,张家窝/天津南站,川菜馆
山上下居酒屋(中北永旺店),4.9,1873.0,132.0,中北镇,日本料理
芳竹园火锅(华苑店),4.9,2500.0,67.0,西青大学城,四川火锅
满座烤肉(芥园西道店),4.2,49.0,61.0,中北镇,融合烤肉
川越泰·泰式海鲜火锅(中北镇店),4.9,107.0,113.0,中北镇,泰式火锅
京湘九号,4.4,132.0,99.0,梅江会展中心,湘菜
1981 STEAK HOUSE(牛排小馆智慧山店),3.9,3.0,,王顶堤/华苑,牛排
小猪查理川式烤肉(华苑店),4.6,345.0,70.0,王顶堤/华苑,烧烤烤串
吉园里东北私房菜(大津城店),3.7,5.0,,凌奥,东北菜
阿依来新疆餐厅(中北镇店),4.9,5987.0,82.0,中北镇,新疆菜
必点海鲜·鲅鱼水饺(华苑店),4.7,463.0,148.0,王顶堤/华苑,海鲜
九田家黑牛烤肉料理(中北镇店),4.8,1525.0,109.0,中北镇,韩式烤肉
屯老二农家铁锅炖(中北镇店),4.7,1716.0,91.0,中北镇,东北菜
璞岳餐厅,3.7,23.0,97.0,八里台,粤菜馆
太守宴·烤鸭(梅江店),4.0,293.0,134.0,梅江小区,烤鸭
回家乡湘菜馆(凌奥店),4.5,531.0,101.0,凌奥,湘菜
银座酒家,4.5,1991.0,85.0,西青大学城,海鲜
匠小厨一锅鲜(张家窝家华里店),4.4,330.0,62.0,张家窝/天津南站,天津菜
友鹏海鲜公馆(左江道店),4.5,2887.0,160.0,梅江小区,海鲜
屯老二农家铁锅炖(梅江店),4.1,1254.0,106.0,梅江会展中心,东北菜
棒骨食代·棒骨火锅(天津首店),3.8,17.0,,杨柳青,火锅
港式打边炉(云锦店),3.6,106.0,115.0,中北镇,打边炉/港式火锅
福晟轩,3.6,4.0,,张家窝/天津南站,天津菜
通吃宴神炭烤肉,4.0,62.0,46.0,西青区,融合烤肉
成都108火锅(大寺店),4.3,61.0,68.0,大寺,四川火锅
刁馋一锅鲜·津门招牌菜(碧水家园店),4.7,471.0,74.0,华苑科技园,天津菜
森一子 道帮子烤牛肉(津南店),4.3,167.0,73.0,八里台,融合烤肉
九田家黑牛烤肉料理(张家窝店),4.4,496.0,109.0,张家窝/天津南站,韩式烤肉
大吉祥碳火烤肉,3.5,1.0,,王稳庄,融合烤肉
江西人家,3.5,21.0,,凌奥,江西菜
李记打边炉港式火锅·花胶鸡,4.4,173.0,83.0,梅江会展中心,打边炉/港式火锅
悦味小馆(怡园中心店),4.3,157.0,113.0,西青区,特色菜
巴依老爷新疆美食(梅江永旺店),4.5,2143.0,72.0,大寺,新疆菜
吉布鲁牛排海鲜自助(西青大津城店),4.4,1343.0,85.0,凌奥,自助餐
八号码头蒸汽海鲜(华苑店),4.8,856.0,173.0,王顶堤/华苑,海鲜
渝湘江南(云锦世家店),4.8,770.0,89.0,中北镇,川菜馆
汇金泰西北菜(西青店),4.5,1043.0,70.0,张家窝/天津南站,西北民间菜
老徽菜,3.9,38.0,,华苑科技园,徽菜
大明涮肉,3.9,9.0,,西青区,老北京火锅
蒋记家宴,4.5,97.0,43.0,芥园道/复兴路,家常菜
津祥牛牛排牛尾锅,3.7,82.0,74.0,八里台,火锅
山河屯铁锅炖(梅江康城店),4.0,666.0,79.0,大寺,东北菜
