shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
顺兴德•天津菜(旗舰店),4.8,1416,68.0,程林,天津菜
船尚小镇(中街广场店),4.0,101,80.0,军粮城,天津菜
大铁勺酒楼(阳光新业广场店),4.8,4347,77.0,东丽开发区,天津菜
燕子食府,4.2,137,58.0,东丽开发区,天津菜
福慧轩(东丽湖店),4.4,400,68.0,华侨城欢乐谷,天津菜
筋头巴脑香辣馆,4.5,178,59.0,民航大学,火锅
宴宾楼(东丽店),4.3,710,77.0,区政府,天津菜
犟霸牛排牛尾锅,4.1,83,55.0,军粮城,火锅
友鹏海鲜(机场店),4.1,474,116.0,民航大学,海鲜
利德顺小老饭庄(香港花园店),4.6,1248,70.0,东丽开发区,天津菜
福宴楼饭庄,4.6,1303,68.0,程林,天津菜
状元火锅鸡总店,4.6,270,90.0,军粮城,火锅
渝湘江南(万科城店),4.4,1110,93.0,华侨城欢乐谷,川菜馆
佳湘一品酒楼(天山南路店),4.4,130,99.0,天山南路,湘菜
全牛道·川小馆乐山跷脚牛肉(天津旗舰店),4.9,1099,52.0,东丽开发区,川菜馆
津味老菜,4.0,262,69.0,空港经济区,天津菜
八方宴大酒楼,3.4,15,,天山南路,特色菜
宴津轩·融合菜·传统捞面·家常菜,4.0,18,,区政府,特色菜
小媳妇铁锅炖鱼,3.5,4,,大毕庄,东北菜
万鹏大酒店,4.0,189,113.0,大毕庄,天津菜
牛魔王烤肉,4.9,871,87.0,舒畅园,融合烤肉
九寸花汀自助烤肉(东丽万达店),3.5,839,86.0,东丽开发区,自助餐
新融记,3.7,119,127.0,程林,私房菜
咱那农家院,3.9,56,73.0,大毕庄,农家菜
九河食府(原东丽赶集小镇店),3.9,393,88.0,东丽开发区,天津菜
牛本家传统烤肉(华明店),4.7,251,79.0,空港/华明镇,韩式烤肉
滨海渔港.本源海鲜(空港店),4.7,1289,125.0,空港/华明镇,海鲜
大韩酒楼,4.6,575,82.0,程林,特色菜
超越火锅鸡炭烤肉(军粮城店),4.1,253,63.0,军粮城,炭火锅
望湘川湘菜小炒·一口到长沙,4.8,121,53.0,空港经济区,湘菜
望海湾鱼头泡饼(空港店),4.1,588,145.0,空港经济区,海鲜
裕德隆饭庄(东丽店),4.2,248,78.0,东丽开发区,其他中餐
大东北农家院老火炕铁锅炖鱼,3.4,9,,军粮城,东北菜
和合盛火锅,3.5,1,,军粮城,重庆火锅
牛本家传统烤肉(军粮城店),4.6,91,82.0,军粮城,韩式烤肉
滨海渔港·本源海鲜(津昆桥店),4.7,575,201.0,程林,海鲜
中津饭店,3.9,12,,东丽开发区,天津菜
小松创意融合菜,4.2,167,86.0,东丽开发区,特色菜
聚瀛天津菜,3.6,78,86.0,程林,天津菜
长山屯泉水灶台鱼(空港复地店),4.5,634,85.0,空港经济区,东北菜
雪松亭烤肉,4.6,200,64.0,华侨城欢乐谷,韩式烤肉
友一家火锅鸡,3.6,2,,大毕庄,炭火锅
胡同小馆(空港店),4.2,73,17.0,空港经济区,天津菜
芳竹园火锅(复地广场店),4.8,491,63.0,空港经济区,四川火锅
小猪查理川式烤肉(东丽华明店),3.5,21,,空港/华明镇,烧烤烤串
尚渔味双拼烤鱼(军粮城尚河城店),4.1,116,66.0,军粮城,烤鱼
天福人家,3.8,51,66.0,军粮城,私房菜
青阳宫 · 铜锅涮肉(天山路店),4.8,2032,68.0,程林,老北京火锅
恭喜发財港式打边炉(恒星世界店),4.5,497,92.0,区政府,打边炉/港式火锅
屯老六铁锅炖,3.5,16,105.0,华侨城欢乐谷,东北菜
藤骄大渔海棠·酸菜鱼(复地广场店),4.8,1969,74.0,空港经济区,酸菜鱼/水煮鱼
梨花·花汀潮汕牛肉自助火锅(SM店),4.5,2129,91.0,空港/华明镇,自助餐
和庆斋羊蝎子火锅·四季烧烤(总店),4.0,177,70.0,舒畅园,羊蝎子火锅
人民公社大食堂(雪莲路店),4.3,113,60.0,区政府,东北菜
紫茗远播·茶·餐·微醺,3.6,4,,空港经济区,淮扬菜
小猪查理川式烤肉(军粮城店),3.6,201,67.0,军粮城,烧烤烤串
春田烤肉,4.2,43,82.0,大毕庄,融合烤肉
八一大院烧烤铁锅炖,3.8,13,81.0,东丽区,东北菜
海底捞火锅(东丽区万达广场店),4.4,258,95.0,东丽开发区,四川火锅
犟霸牛排牛尾锅(华明店),3.5,31,69.0,空港/华明镇,羊蝎子火锅
HOLA西班牙餐厅(空港店),4.7,694,150.0,空港经济区,西餐
长山屯泉水灶台鱼(华明店),3.9,133,68.0,空港/华明镇,东北菜
梧桐法式铁板烧(东丽万达店),4.0,254,127.0,东丽开发区,日式铁板烧
半天妖烤鱼(天津复地广场店),4.8,625,70.0,空港经济区,烤鱼
好灶头铁锅炖鱼(舒畅园店),3.7,41,71.0,舒畅园,东北菜
旺旺火锅(金钟街店),4.4,269,64.0,大毕庄,火锅
市井烤肉(天山南路店),4.7,600,67.0,程林,融合烤肉
井河轩扬州家常菜(空港店),4.5,581,84.0,空港经济区,淮扬菜
亿品鲜,3.9,100,61.0,保利玫瑰湾商业中心,天津菜
东来顺(空港店),3.6,22,150.0,空港经济区,老北京火锅
苏榷Steak&Bistro,4.4,482,175.0,空港经济区,西餐
津门羊大爷·铜锅涮肉(东丽店),4.6,814,84.0,程林,老北京火锅
杜鹃川菜(空港店),4.3,434,94.0,空港经济区,创意菜
津门羊大爷·铜锅涮羊肉(东丽湖店),4.2,115,96.0,华侨城欢乐谷,老北京火锅
芳竹园火锅(东丽汇城广场店),4.6,99,63.0,区政府,四川火锅
正阳春天津烤鸭店(华明旗舰店),3.9,130,80.0,空港/华明镇,天津菜
海银海记潮汕牛肉火锅,4.7,1394,98.0,空港经济区,潮汕牛肉火锅
津门羊大爷·铜锅涮肉(津塘路宜家店),3.9,133,73.0,东丽开发区,老北京火锅
农家铁锅炖,3.6,3,,保利玫瑰湾商业中心,东北菜
聚十三烤肉博物馆(东丽万达店),4.7,696,80.0,东丽开发区,融合烤肉
鱼夫歌蒸汽海鲜(空港店),4.7,962,150.0,空港经济区,海鲜
大东北农家院木火灶台鱼(香山道店),3.8,155,65.0,程林,东北菜
小食号·精致湘菜海鲜(空港店),4.5,579,111.0,空港经济区,湘菜
立业花园酒店餐饮,3.6,47,93.0,军粮城,天津菜
津门羊大爷·铜锅涮肉(空港店),4.0,497,101.0,空港经济区,老北京火锅
咱家大院铁锅炖炒菜,3.6,155,124.0,东丽区,东北菜
查干湖铁锅炖(华明店),3.4,1,,空港/华明镇,东北菜
8405津鲁菜馆(汇城广场店),4.3,263,70.0,区政府,鲁菜
屋头串串(东丽湖店),3.9,31,66.0,华侨城欢乐谷,串串香
胡桃里音乐酒馆(SM店),4.6,1325,129.0,空港/华明镇,川菜馆
悦多多·精品佛跳墙海鲜火锅,4.7,119,136.0,空港经济区,火锅
九田家黑牛烤肉料理(万达店),4.8,1316,101.0,东丽区,韩式烤肉
二姐家三个拿手菜(成林道店),4.1,207,51.0,程林,家常菜
今顺,4.9,1262,85.0,区政府,韩国料理
和庆斋羊蝎子火锅(大毕庄店),3.9,11,,东丽区,羊蝎子火锅
半天妖烤鱼(建邦时代汇店),4.3,79,,空港/华明镇,烤鱼
小树林海鲜烧烤,3.8,98,87.0,民航大学,烧烤烤串
九田烤肉料理(空港复地店),4.7,2335,122.0,空港经济区,韩式烤肉
燕子食府,4.6,608,69.0,区政府,其他美食
蒙冠火锅居(金河店),4.1,140,63.0,大毕庄,火锅
刁馋一锅鲜·津门招牌菜(汇城广场店),4.6,991,71.0,区政府,天津菜
巴乡石锅鱼(津北路店),3.9,271,78.0,民航大学,鱼火锅
清真·龙猫食堂,4.6,466,80.0,区政府,日本料理
新煮意(恒星店),4.8,3105,86.0,区政府,酸菜鱼/水煮鱼
杨家东北烧烤·特色铁锅炖(空港店),3.7,157,77.0,空港经济区,烧烤烤串
丽湖坑烤·农家院·烤羊腿·烤全羊·铁锅炖·二人转演艺,3.9,35,93.0,金钟路,烤羊腿
吉祥春饼·烤鸭(空港SM广场店),4.3,103,67.0,空港/华明镇,烤鸭
利丰源烤羊腿(复地活力广场店),3.7,74,134.0,空港经济区,烤羊腿
村头烤肉•夜宵(新市镇店),3.5,24,,东丽区,韩式烤肉
孙大厨大魚泡饼,4.1,52,77.0,空港/华明镇,海鲜
民福家宴,4.1,97,51.0,东丽区,湘菜
君乐福酒楼,4.1,111,60.0,空港/华明镇,天津菜
利磊渔家院(东丽开发区店),4.4,366,83.0,东丽开发区,海鲜
半天妖烤鱼(天津SM广场店),4.8,697,81.0,空港/华明镇,烤鱼
齐齐哈尔炭火烤肉海鲜烧烤,3.7,38,100.0,区政府,融合烤肉
玖沐三湘,4.3,76,117.0,空港经济区,湘菜
