shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
宽记老门口(塘沽店),4.9,1648.0,79.0,塘沽城区,天津菜
塘沽宴,4.6,335.0,110.0,塘沽城区,天津菜
海然居,4.5,309.0,91.0,汉沽城区,海鲜
STEP-UP跃上西餐厅(响螺湾店),4.8,127.0,168.0,响螺湾商圈,牛排
饭局酒店,4.7,2065.0,89.0,新港,天津菜
老周记海鲜(河南路店),4.4,152.0,84.0,响螺湾商圈,海鲜
渔家庄·海鲜家常菜馆(中心北路店),4.5,336.0,134.0,杭州道/福州道,天津菜
塌锅包子天津菜,4.8,1795.0,84.0,经济开发区,天津菜
沽上民肴大鱼泡饼(开发区店),4.8,873.0,100.0,泰达MSD,天津菜
名炉烤鸭(塘沽店),4.7,73.0,78.0,洋货市场,特色菜
破店·街边烤肉,4.6,330.0,88.0,外滩/金街,融合烤肉
裕鼎鲜·中华小吃·江湖菜(滨海吾悦店),4.0,38.0,54.0,塘沽工农村,特色菜
半天妖烤鱼(滨海吾悦广场店),4.7,173.0,69.0,塘沽工农村,烤鱼
天津卫老菜馆,4.5,428.0,75.0,塘沽城区,天津菜
拾肆號巷子(塘沽永旺店),4.6,971.0,72.0,开发区永旺,川菜馆
悦海·新京菜(泰丰店),4.7,415.0,123.0,经济开发区,特色菜
听潮海鲜(河北路店),4.9,1055.0,157.0,塘沽城区,海鲜
刁馋一锅鲜·津门招牌菜(远洋未来汇店),4.6,568.0,70.0,新村,天津菜
羊庄故事(河南路店),4.1,301.0,99.0,响螺湾商圈,牛羊肉火锅
湘芸(滨海金隅店),4.4,80.0,87.0,开发区一二三大街,湘菜
玉玲珑·里舍(K11 Select店),4.8,602.0,111.0,泰达MSD,上海本帮菜
奕座私房料理(尊品庭苑店),4.7,702.0,500.0,泰达MSD,私房菜
羊庄人家(谐海路店),4.3,193.0,91.0,塘沽工农村,其他中餐
云山喜柿·川肴,4.3,32.0,78.0,塘沽工农村,川菜馆
弄堂小笼包(滨海吾悦广场店),4.0,20.0,69.0,塘沽工农村,上海本帮菜
马记北塘鲅鱼蒸饺海鲜楼,4.8,690.0,109.0,新港,天津菜
星空屋顶餐吧StarLight Roof Pub,4.0,31.0,125.0,外滩/金街,火锅
谷丰铁锅炖,3.5,7.0,,汉沽城区,东北菜
行蓉·行成都·蓉派川菜(厦门路店),4.2,208.0,73.0,塘沽工农村,川菜馆
敖包相会草原传奇,4.0,109.0,106.0,大港城区,烧烤烤串
