shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
津门船菜,3.6,348,88.0,双港,川菜馆
津沽沁园(微山路店),4.4,174,64.0,领世郡,天津菜
刁馋一锅鲜·经典津味儿(新华城市广场店),4.4,759,78.0,咸水沽,天津菜
正阳春鸭子楼(双港店),4.2,474,78.0,双港,天津菜
古井大酒楼,4.0,52,73.0,领世郡,天津菜
登瀛楼(津南领世郡店),4.2,709,119.0,领世郡,天津菜
小仙岛蒸汽海鲜,3.2,20,110.0,八里台,海鲜
祖母的魔法厨房(津南永旺店),4.8,1715,81.0,津南区,西餐
菁香烤肉(葛沽店),3.7,1,,葛沽,韩式烤肉
不差钱农家菜馆,3.8,4,,双港,农家菜
环美大酒楼(微山路店),4.5,1266,82.0,津南区,海鲜
渝湘江南(领世路店),4.4,1014,84.0,领世郡,川菜馆
宝德福酒家,4.8,897,154.0,津南区,海鲜
大锅炖鱼,4.2,70,92.0,葛沽,东北菜
津沽家宴(咸水沽店),3.7,12,,咸水沽,天津菜
思蜀川菜主题餐厅,4.1,409,50.0,津南大学城,川菜馆
崔记老东北铁锅炖鱼(津南店),3.6,2,,双港,东北菜
屯老二农家铁锅炖(津南店),4.1,1124,95.0,领世郡,东北菜
云上千禾云南味(咸水沽店),4.8,787,89.0,咸水沽,云南菜|滇菜
妻家房(领世郡店),4.7,809,82.0,领世郡,韩国料理
比亚森,3.6,17,,八里台,烧烤烤串
二姐家三个拿手菜(微山路店),4.0,226,55.0,富力桃园,家常菜
湘厨湘菜馆(津南店),3.8,70,89.0,双港,湘菜
屯老二农家铁锅炖(咸水沽店),4.6,508,77.0,咸水沽,东北菜
原生态碳火煎牛肉(咸水沽店),4.7,1369,93.0,咸水沽,融合烤肉
津沽大院,3.4,88,80.0,咸水沽,天津菜
偶哈呦洋风料理(津南永旺店),4.6,163,67.0,津南区,日本料理
齐齐哈尔家庭烤肉(小站店),4.0,13,,小站,融合烤肉
布衣兴旺饭店,3.8,147,72.0,咸水沽,天津菜
星之宴餐厅,3.7,48,94.0,咸水沽,特色菜
北李妈妈菜(天津津南永旺店),3.6,93,94.0,津南区,东北菜
孙家外婆菜(津南永旺店),4.0,1419,63.0,津南区,家常菜
东北农家院,4.0,1736,73.0,月坛商厦,东北菜
啤孩子烤肉店,4.0,15,,葛沽,韩式烤肉
聚盛鑫海鲜家宴(河西店),3.6,19,,津南区,天津菜
沧州老灶火锅鸡(葛沽镇店),3.9,225,52.0,葛沽,火锅
晓粤馆,4.5,37,71.0,领世郡,粤菜馆
花美乐·TheflowerlifeCafe 时尚主题餐厅,4.8,4307,102.0,津南区,西餐
韶山冲经典湘菜,3.4,11,,咸水沽,湘菜
云南原生态石锅坊(津南店),4.8,605,92.0,领世郡,鱼火锅
八角餐厅,4.1,141,72.0,咸水沽,其他中餐
好日子饺子楼,4.3,497,78.0,双港,天津菜
马辣仙锅 ·火锅烧烤,4.8,1049,68.0,领世郡,四川火锅
胡桃里音乐酒馆(津南店),4.3,361,122.0,咸水沽,川菜馆
津宴中国菜,3.5,3,,津南大学城,特色菜
芳竹园火锅(禧悦时光店),4.7,305,62.0,领世郡,四川火锅
京城帝一锅羊蝎子火锅烧烤,4.3,190,90.0,富力桃园,羊蝎子火锅
川府新都(柳林店),4.6,334,71.0,津南区,川菜馆
濯港·王婆大虾,3.6,68,,小站,海鲜火锅
陈家屯火锅鸡(双港店),4.1,147,70.0,富力桃园,炭火锅
韶山冲湘菜馆(双港店),4.2,62,78.0,双港,湘菜
大灶活鱼馆(双港店),4.5,474,61.0,双港,东北菜
阿杨集市·烤肉火锅一站式体验店,3.5,1,,葛沽,融合烤肉
三好家宴创意融合菜,4.5,75,60.0,领世郡,特色菜
大东北靠山屯铁锅炖,3.5,30,,小站,东北菜
梨花牛肉汤(津南永旺店),4.4,506,40.0,津南区,小吃快餐
笑品圆地锅炖(双港鑫港园店),4.1,96,58.0,双港,东北菜
璞岳餐厅,3.7,23,97.0,八里台,粤菜馆
鱼夫歌蒸汽海鲜(津南永旺店),4.1,66,137.0,津南区,海鲜
无限韩国自助烤肉(领世郡店),4.4,571,63.0,领世郡,烧烤烤串
三川日料(津南永旺店),4.6,126,85.0,津南区,日本料理
拖拉机家庭烤肉烧烤,3.5,58,59.0,咸水沽,融合烤肉
御秦记牛排牛尾火锅(咸水沽店),4.4,844,70.0,咸水沽,牛羊肉火锅
双蹊小馆,3.7,88,51.0,津南区,特色菜
轩福居饭庄(津沽路店),3.9,187,76.0,咸水沽,天津菜
芳竹园火锅(新华城市广场店),4.6,823,66.0,咸水沽,四川火锅
巴依老爷新疆美食(津南永旺店),4.6,1948,77.0,津南区,新疆菜
汇鲜楼·刘记海鲜,3.8,82,63.0,双港,海鲜
月坛海鲜,4.3,501,92.0,咸水沽,海鲜
津创九寸钉·料理级自助炭火烤肉(津南新华广场店),4.5,3396,73.0,咸水沽,自助餐
广东小馆正宗粤菜,3.6,64,96.0,领世郡,粤菜馆
落九河•烤鸭(吾悅广场店),4.2,257,80.0,咸水沽,天津菜
尚品家宴,3.7,16,,咸水沽,特色菜
津门羊大爷·铜锅涮肉(辛庄店),4.5,328,78.0,津南区,老北京火锅
李记潮粤汕牛肉火锅,3.7,45,104.0,咸水沽,潮汕牛肉火锅
大津味火锅鸡(双港店),3.4,14,,领世郡,炭火锅
和福烤鸭·融合菜,4.1,52,56.0,咸水沽,烤鸭
小菜园新徽菜(津南永旺梦乐城店),4.5,416,75.0,津南区,徽菜
香家火锅(天津大学店),3.2,1,,津南大学城,四川火锅
9号花园自助烤肉(津南店),3.7,274,64.0,月坛商厦,自助餐
森一子 道帮子烤牛肉(津南店),4.3,167,73.0,八里台,融合烤肉
东北妈妈菜馆(农家院分店),4.4,916,57.0,咸水沽,东北菜
陈家屯火锅鸡(津南旗舰店),3.7,80,66.0,津南区,炭火锅
津祥牛牛排牛尾锅,3.7,82,74.0,八里台,火锅
大东北二人转演艺农家铁锅炖鱼,3.8,271,64.0,咸水沽,东北菜
弄堂小笼包(天津津南永旺店),4.5,1250,65.0,津南区,上海本帮菜
齐齐哈尔家庭烤肉(总店),4.4,132,58.0,咸水沽,融合烤肉
阿杨集市烤鲜肉(小站店),3.2,2,,小站,融合烤肉
辣椒炒肉(微山路店),4.3,389,57.0,领世郡,天津菜
大叔私厨·7915,3.9,21,,领世郡,私房菜
清真老姥家三皮俩馅牛肉饼,3.7,4,,小站,特色菜
老门老户,4.2,184,58.0,双港,东北菜
小回民清真菜馆,3.5,8,43.0,小站,特色菜
老街称盘麻辣烫(津南吾悦店),3.7,4,,咸水沽,重庆火锅
齐齐哈尔家庭烤肉(双港店),4.2,103,54.0,领世郡,融合烤肉
恩来顺(香堤广场店),4.3,95,60.0,领世郡,老北京火锅
黑牛小镇市集烤肉(津南吾悦广场店),3.4,18,,咸水沽,融合烤肉
喜来赢大酒楼(发港南路店),3.9,126,110.0,双港,特色菜
半天妖烤鱼(津南吾悦广场店),4.8,2099,72.0,咸水沽,烤鱼
羊庄故事·鲜肉涮·火锅(咸水沽店),3.8,304,98.0,咸水沽,牛羊肉火锅
和膳坊铁锅炖鱼,4.1,259,76.0,八里台,东北菜
津湘渝饭店,4.0,38,,津南区,川菜馆
鱼酷活鱼烤鱼(津南永旺店),4.8,988,101.0,津南区,烤鱼
鲈彩•功夫牛水煮(津南店),4.4,162,72.0,咸水沽,川菜馆
市井烤肉(咸水沽店),4.4,186,64.0,咸水沽,融合烤肉
亿君潮汕牛肉火锅,4.1,112,81.0,咸水沽,潮汕牛肉火锅
波波家麻麻鱼(双港店),4.5,357,91.0,领世郡,酸菜鱼/水煮鱼
筷活林串场,3.7,3,,北闸口镇,烤串
南开大学第二食堂(津南校区),4.1,141,12.0,津南大学城,快餐简餐
囍馆.er,3.5,1,,小站,烤串
恩来顺火锅店(南八里台店),3.7,52,63.0,八里台,老北京火锅
38度湘,3.7,55,85.0,领世郡,湘菜
老大鸡肉串,4.1,55,53.0,领世郡,烤串
旺湘阁酒楼,3.7,38,40.0,咸水沽,湘菜
頭壹鸣市井火锅鸡(小站店),3.6,1,,小站,炭火锅
橘南小巷火锅料理,4.0,108,62.0,津南大学城,火锅
好来吃烧烤店,3.8,30,62.0,葛沽,烧烤烤串
火焰山8号烧烤,3.5,5,,北闸口镇,烧烤烤串
晟隆轩铜锅涮羊肉·烧烤•烤肉,3.5,8,,葛沽,烧烤烤串
狼爱上羊音乐火锅烧烤餐吧,4.2,70,70.0,津南区,烧烤烤串
头道沟夜市,3.5,1,,咸水沽,快餐简餐
正阳春鸭子楼(咸水沽店),3.2,174,76.0,咸水沽,天津菜
八里香膳奇火锅,3.6,5,,八里台,羊蝎子火锅
启航东北一鸽(津南店),3.3,64,54.0,咸水沽,烤串
阿甘正串·烧烤·烤鱼(香堤广场店),4.7,69,66.0,领世郡,烤串
津创九寸钉·料理级自助炭火烤肉(津南吾悦广场店),3.6,1116,80.0,咸水沽,自助餐
和庆斋羊蝎子火锅·烧烤,3.5,8,,津南区,羊蝎子火锅
九田家黑牛烤肉料理(津南永旺店),4.1,984,111.0,津南区,韩式烤肉
犟霸牛排牛尾一锅香,3.8,3,,领世郡,羊蝎子火锅
阿旺潮牛尚品潮汕牛肉火锅(渌水道店),4.6,668,103.0,小海地,潮汕牛肉火锅
桐树轩(左岸2号店),4.8,1435,80.0,咸水沽,韩国料理
满圆薄春饼(津南永旺店),4.5,2010,78.0,津南区,东北菜
川味火锅,3.9,32,,小站,四川火锅
羊老赞铜锅涮羊肉(葛沽店),3.6,110,82.0,葛沽,牛羊肉火锅
道顿堀居酒屋(惠安花园店),4.9,1005,77.0,咸水沽,日本料理
犟霸牛排牛尾锅,3.7,5,,双港,牛羊肉火锅
董家火锅鸡,3.8,39,62.0,领世郡,炭火锅
羊老赞铜锅涮羊肉(微山南路店),3.9,155,71.0,富力桃园,老北京火锅
北李妈妈菜(新华广场店),3.6,280,66.0,咸水沽,东北菜
鸭百万·北京烤鸭(九龙街店),3.4,3,,双港,烤鸭
波波家麻麻鱼(咸水沽店),4.5,294,82.0,咸水沽,川菜馆
羊老赞铜锅涮羊肉(小站店),3.8,126,145.0,小站,老北京火锅
疆小粉新疆炒米粉,4.0,20,,咸水沽,新疆菜
鱼翻天·豆腐石锅鱼(津南永旺店),4.7,169,83.0,津南区,鱼火锅
旺兴茶餐厅(新城吾悦店),4.2,682,77.0,咸水沽,茶餐厅
家禾家常菜馆,3.7,21,36.0,津南区,家常菜
津门羊大爷·铜锅涮肉(双港店),3.8,81,92.0,领世郡,老北京火锅
桢炭烤肉(津南店),4.4,782,81.0,领世郡,融合烤肉
麦当劳(金水店),4.3,109,33.0,葛沽,西式快餐
比亚森自助烤肉(月坛商厦店),4.5,19181,62.0,咸水沽,自助餐
木火铁锅炖鱼村,3.8,140,71.0,小站,东北菜
学一家日式料理,4.0,7,,津南区,日本料理
吉祥春饼·烤鸭(天津新城吾悦店),4.6,791,69.0,咸水沽,烤鸭
龍湘阁湘菜,3.0,6,,咸水沽,湘菜
炉石六本目·烧鸟·専門店(津南店),4.2,233,124.0,津南区,日式烧烤/烤肉
上官家西北菜(津南永旺店),4.3,318,63.0,津南区,西北民间菜
来串门儿羊蝎子牛排牛尾锅,3.8,30,,领世郡,羊蝎子火锅
津祥牛牛排牛尾火锅,3.7,3,,小站,四川火锅
麦当劳(天津津港公路DT店),4.5,297,28.0,八里台,西式快餐
谷养元,3.6,58,27.0,咸水沽,家常菜
太二酸菜鱼(津南永旺店),4.3,425,86.0,津南区,酸菜鱼/水煮鱼
9292火辣牛肠,4.7,445,89.0,领世郡,韩国料理
姜姐流河火锅鸡,3.5,3,,北闸口镇,火锅
罗师傅私家厨房,3.6,12,,咸水沽,私房菜
过大年东北菜,3.8,51,54.0,八里台,东北菜
东北虎俄式烧烤,4.0,538,75.0,咸水沽,融合烤肉
九河民肴,3.5,54,69.0,咸水沽,特色菜
家家乐铁锅炖鱼,3.7,4,,八里台,东北菜
