shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
水溪源(天津总店),4.5,889,60.0,西横堤/瑞景新天地,浙菜
江浙小调,3.5,63,72.0,北仓,浙菜
食味酒味·私厨小酒馆,4.9,1017,99.0,铁东路街,特色菜
津喜荟•烤鸭,4.6,225,103.0,宜兴埠,创意菜
芳竹园火锅(北辰双街店),4.1,203,69.0,双街,四川火锅
惠宾饭庄(瑞景新苑店),4.3,735,97.0,刘园,天津菜
津创九寸钉·料理级自助炭火烤肉(辰悦广场店),3.7,230,73.0,天穆,自助餐
贤福记运河船宴,4.3,286,80.0,天穆,天津菜
刁馋一锅鲜·津门招牌菜(双街店),4.8,743,72.0,双街,天津菜
牛魔王烤肉(北辰店),4.8,227,74.0,北仓,融合烤肉
刁馋一锅鲜·津门招牌菜(刘园店),4.7,1250,66.0,刘园,天津菜
大门墩饭店,4.5,191,55.0,杨柳青,其他中餐
明德饭庄(总店),3.9,27,,西堤头,特色菜
天祥饭庄(京津路店),4.6,607,79.0,天穆,特色菜
满庭酒楼,4.7,244,73.0,刘园,天津菜
石府老味道(青致路店),4.0,334,77.0,杨柳青,天津菜
正月十五(北辰店),4.5,549,96.0,宜兴埠,特色菜
意境长安·遇皇阁(尚河城店),3.6,137,69.0,双街,陕菜
东记三江铁锅炖(双街店),4.7,294,73.0,双街,东北菜
永利鱼馆,4.4,151,72.0,小淀,其他美食
万和居,4.4,406,75.0,杨柳青,天津菜
小猪查理川式烤肉(瑞景新苑店),3.8,87,65.0,西横堤/瑞景新天地,自助餐
芳竹园火锅(北辰辰悦广场店),4.7,108,56.0,天穆,四川火锅
肘子酥(姚江东路店),4.3,222,66.0,宜兴埠,天津菜
利禧家宴酒楼(北辰店),4.3,294,103.0,宜兴埠,特色菜
拾来运转铁锅炖(北辰店),4.4,172,77.0,小淀,东北菜
市井烤肉(宜兴路店),4.5,254,61.0,宜兴埠,融合烤肉
九香居,4.2,333,63.0,杨柳青,天津菜
昊鑫顺老菜馆(紫瑞园店),4.6,1740,54.0,刘园,天津菜
屯老二农家铁锅炖(刘园店),4.3,1486,81.0,刘园,东北菜
湘芸(辰悦广场店),3.7,50,89.0,天穆,湘菜
鸿福轩酒楼(北辰店),4.5,91,85.0,西横堤/瑞景新天地,天津菜
裕德隆饭庄(北辰店),4.5,534,93.0,北仓,特色菜
牡丹园自助烤肉(北辰店),3.4,180,74.0,北仓,自助餐
友鹏煜见㬵东海鲜酒楼(双街店),4.2,362,90.0,双街,海鲜
海底捞火锅(红星美凯龙店),4.2,307,96.0,北辰区,四川火锅
老城味道主题餐厅(杨柳青店),4.4,967,72.0,杨柳青,天津菜
羴兄弟羊肉专门店(北辰店),4.8,1249,98.0,西横堤/瑞景新天地,牛羊肉火锅
半天妖烤鱼(杨柳青物美店),4.8,371,72.0,杨柳青,烤鱼
穆健饭店(天穆店),4.0,140,59.0,天穆,天津菜
渔夫渔婆铁锅炖,3.9,18,,宜兴埠,东北菜
1948文化创意餐厅,3.7,6,,杨柳青,天津菜
肘子酥(柴楼店),3.9,289,56.0,双街,天津菜
翠钰清波餐厅,4.2,34,102.0,杨柳青,烤鸭
友鹏海鲜(新宜白大道店),4.4,489,107.0,宜兴埠,海鲜
清真同玉楼饭庄,4.7,1064,77.0,天穆,特色菜
芳竹园火锅(北辰普东店),4.5,438,72.0,宜兴埠,四川火锅
宋姨家的小锅炖(辰悦广场店),4.0,7,,天穆,东北菜
人民公社大食堂(北辰万科店),3.9,487,63.0,宜兴埠,东北菜
立绅酒楼,4.6,480,79.0,北仓,天津菜
小猪查理川式烤肉(双街店),4.5,297,68.0,双街,烧烤烤串
人民公社大食堂(西青道店),3.6,10,,杨柳青,东北菜
