shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
不二家海鲜烤肉自助餐厅,3.5,1183,79.0,北郑/泉州北路,烧烤烤串
新疆亿度酷餐厅ئىدىقۇت(保利店),3.7,30,74.0,保利/亨通花园,新疆菜
娜娜家·娜娜和她的朋友们(威尼都店),4.3,155,108.0,佛罗伦萨/威尼都,西餐
大津门新津菜(体育馆中心店),4.8,146,83.0,佛罗伦萨/威尼都,天津菜
宴津门·天津菜(瑞通大厦店),3.9,127,90.0,泉州路/广厦道,天津菜
喀秋莎西餐厅,3.3,69,,北郑/泉州北路,特色菜
好伦哥,3.7,1,,武清区,自助餐
大锅小菜·老汤卤肉炖锅(武清创意米兰店),4.3,111,72.0,泉州路/广厦道,创意菜
大津门(六城店),4.5,628,78.0,第六城,天津菜
廣順興(武清店),3.6,17,,中信广场,广州菜
海底捞火锅(大光明中心店),4.8,783,99.0,武清客运站,四川火锅
刘大厨羊庄,3.5,1,,六城/金汇广场,牛羊肉火锅
Camellia花厨鲜花餐厅(创意米兰店),3.9,48,125.0,泉州路/广厦道,创意菜
老六饭店(同泽园店),3.8,75,21.0,北郑/泉州北路,天津菜
三十三吉(武清店),4.1,145,38.0,佛罗伦萨小镇,小吃快餐
翟老大万家灯火,4.8,813,74.0,保利/亨通花园,天津菜
局气 烤鸭·北京菜(武清店),4.7,1439,105.0,泉州路/广厦道,京菜
鱼夫歌蒸汽海鲜(武清店),4.6,1561,134.0,第六城,海鲜
麻屋手抓海鲜(武清总店),4.2,906,68.0,保利/亨通花园,海鲜
大津门(保利店),4.3,82,69.0,佛罗伦萨/威尼都,天津菜
半天妖烤鱼(天津武清万达店),4.8,705,72.0,北郑/泉州北路,烤鱼
頭壹鸣市井火锅鸡(保利店),3.5,23,,保利/亨通花园,火锅
倾城自助海鲜烤肉,3.8,1868,82.0,武清客运站,自助餐
家春秋(盛世郦园总店),4.6,1974,88.0,保利/亨通花园,天津菜
吉乡山宝吉林菜(凯旋王国店),4.4,96,65.0,保利/亨通花园,东北菜
福海居烤鸭店(福海家宴店),4.8,619,117.0,龙湾城/华北城,烤鸭
屯老二农家铁锅炖(武清店),4.6,658,107.0,第六城,东北菜
海底捞火锅(武清万达店),4.1,213,97.0,北郑/泉州北路,四川火锅
食艺访大酒楼,3.8,24,,泉州路/广厦道,特色菜
艾薇小厨(保利金街店),3.8,1023,68.0,保利/亨通花园,湘菜
天津印象(泉兴路店),4.0,156,77.0,武清客运站,天津菜
老廣街道·胡椒猪肚鸡(武清创意米兰店),3.9,16,,泉州路/广厦道,猪肚鸡火锅
毛家菜馆,3.7,152,83.0,泉州路/广厦道,湘菜
珊海荟海鲜酒楼,4.5,251,124.0,佛罗伦萨/威尼都,天津菜
鲜物唯煮打边炉(武清店),3.9,240,131.0,保利/亨通花园,打边炉/港式火锅
元盛居大铜锅,3.5,3,,龙湾城/华北城,火锅
翟老大美食府,4.1,187,67.0,武清客运站,其他美食
东来顺饭庄(武清创意米兰店),4.5,463,111.0,泉州路/广厦道,老北京火锅
徽州小城(武清保利店),3.4,14,,保利/亨通花园,徽菜
一禾轩烀羊肉,3.9,294,74.0,保利/亨通花园,牛羊肉火锅
满圆薄春饼(武清万达店),3.2,127,62.0,北郑/泉州北路,东北菜
半天妖烤鱼(天津武清大光明店),4.4,444,72.0,武清客运站,烤鱼
田小六豆花鱼,3.5,1,,武清区,鱼火锅
刁馋一锅鲜·津门招牌菜(盛世馨园店),4.5,1471,70.0,佛罗伦萨小镇,天津菜
船尚小镇(武清下朱庄店),4.2,432,66.0,龙湾城/华北城,天津菜
观山海铁板烧(京滨工业园店),3.5,1,,武清区,自助餐
