shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
薯芋萱(静海店),3.5,3,,静海县城/东城,其他中餐
您好饭店(静海镇店),4.3,268,44.0,西城,天津菜
海底捞火锅(家世界店),3.9,69,95.0,静海县城/东城,四川火锅
翠亨屯港式茶餐厅,3.7,83,82.0,静海县城/东城,广州菜
清竹林农家院(九通店),4.1,126,63.0,静海县城/东城,天津菜
万家灯火(旭华道店),3.8,215,117.0,静海县城/东城,其他美食
屯老二农家铁锅炖(静海店),4.8,864,89.0,静海县城/东城,东北菜
牡丹园自助烤肉(静海店),3.5,710,67.0,西城,自助餐
家印象·妈妈菜,4.2,282,72.0,静海县城/东城,特色菜
聆桂烤鸭(静联广场店),4.1,118,97.0,静海县城/东城,烤鸭
亮剑·总统府抗日主题餐厅(非清真·静海店),3.9,96,96.0,静海县城/东城,家常菜
韶山冲湘菜馆(团泊店),3.8,16,83.0,团泊湖/光合谷度假区,湘菜
旮旯餐厅(静海镇店),3.8,295,55.0,静海县城/东城,特色菜
民窑坑烤,4.0,10,,静海区其他,融合烤肉
聆桂烤鸭(旭华道店),4.2,223,99.0,静海县城/东城,烤鸭
韶山冲湘菜馆(静海店),3.8,51,94.0,静海县城/东城,湘菜
静海人家本帮菜,3.7,75,109.0,静海县城/东城,其他美食
渝香辣婆婆(东城店),4.4,205,88.0,静海县城/东城,川菜馆
正阳春烤鸭(静海店),4.2,489,92.0,静海县城/东城,烤鸭
四川酒家(联盟路店),4.2,148,51.0,西城,川菜馆
田里涮四味火锅,4.2,98,55.0,静海县城/东城,四川火锅
绿城桃李春风江南宴,4.6,166,125.0,团泊湖/光合谷度假区,浙菜
都汇食府,3.5,13,,西城,其他中餐
包克图羊架子火锅,3.8,16,,静海县城/东城,羊蝎子火锅
鼎尚精致餐饮,3.7,19,312.0,静海县城/东城,火锅
九田家黑牛烤肉料理(家世界店),4.8,380,118.0,静海县城/东城,韩式烤肉
鱼肚白自助烤肉(金梦园店),3.9,7108,59.0,静海县城/东城,烧烤烤串
西域风情烤全羊,3.6,20,130.0,静海县城/东城,烧烤烤串
陈官屯饭店,3.5,1,,静海区其他,其他中餐
巴什拜新疆美食,3.7,15,78.0,静海县城/东城,新疆菜
海汕记-潮汕牛肉火锅(静海店),3.4,2,,静海县城/东城,潮汕牛肉火锅
迪克码头自助牛排(静海总店),3.6,55,,静海县城/东城,自助餐
江淮人家融合菜,3.5,1,,静海县城/东城,特色菜
岳大府自助串串香火锅(西城店),3.5,14,,西城,自助餐
兰姐地摊烤肉,3.7,2,,静海县城/东城,融合烤肉
津门羊大爷铜锅涮肉(仁爱团泊湖店),4.3,88,87.0,团泊湖/光合谷度假区,老北京火锅
津门羊大爷铜锅涮羊肉(静海店),3.6,8,90.0,静海县城/东城,火锅
唐官屯清真涮羊肉,3.5,2,,静海县城/东城,老北京火锅
周晓伟饭店·大姐面馆(静海店),3.7,8,,西城,家常菜
食上鱼肚白融合菜,4.0,103,107.0,静海县城/东城,特色菜
五湖居,3.5,3,,静海县城/东城,其他美食
喜锅,3.8,101,103.0,静海县城/东城,火锅
聚聚火锅,4.6,541,114.0,静海县城/东城,火锅
红蜡烛海鲜粥城·24小时餐厅(静海二店),4.2,220,54.0,静海县城/东城,天津菜
卢记火烧,3.7,32,10.0,静海区其他,小吃
五爷拌面(静海东兴道店),3.5,1,,静海县城/东城,面馆
光合谷自助餐厅,3.8,109,105.0,团泊湖/光合谷度假区,自助餐
井上日料(静海店),3.6,8,,西城,日本料理
台湾菜馆(静海店),3.5,168,93.0,静海县城/东城,台湾菜
潮正和潮汕牛肉火锅(联盟大街店),3.5,13,,西城,潮汕牛肉火锅
四川火锅,3.5,,,西城,四川火锅
韶山冲,3.5,3,,静海县城/东城,湘菜
登瀛楼饭庄(静海店),3.7,39,80.0,静海县城/东城,天津菜
嗨辣e族火锅鸡(静海总店),4.6,377,59.0,静海县城/东城,火锅
壹捞百味蘸料火锅,3.1,20,,静海县城/东城,重庆火锅
吉祥北京烤鸭(胜利大街店),3.8,110,25.0,西城,烤鸭
百姓小吃(静海店),3.6,44,63.0,静海区其他,快餐简餐
老宋饭店独流老菜,3.6,1,,静海区其他,其他中餐
好味道麻辣火锅鸡(静海总店),4.8,478,50.0,西城,火锅
鲸岚·烧肉夜食(静海店),3.4,114,129.0,静海县城/东城,融合烤肉
闸口小院(静海店),4.1,114,57.0,静海区其他,天津菜
大厨小串(静海店),3.7,18,,静海县城/东城,烧烤烤串
外滩风尚(东方商业街店),4.2,1103,105.0,静海县城/东城,西餐
泽成冰煮羊,3.6,10,52.0,静海县城/东城,牛羊肉火锅
88大圆角(静海店),4.0,130,66.0,静海县城/东城,韩国料理
一号海鲜烧烤(商业街店),3.6,8,,静海县城/东城,烤串
湖北川湘人家,3.9,10,,静海县城/东城,湘菜
老城一锅羊蝎子(静海店),4.0,119,85.0,静海县城/东城,羊蝎子火锅
鹿岛小海鲜(静海店),3.8,22,,静海县城/东城,海鲜
草原传奇绿色羊庄,3.6,3,,静海县城/东城,牛羊肉火锅
静福华肥牛(旭华道店),3.5,11,,静海县城/东城,火锅
红豆串烧工坊(静海店),3.9,580,57.0,静海县城/东城,烧烤烤串
独流餐厅,3.6,13,42.0,静海县城/东城,天津菜
金土地自助烤肉,3.3,44,49.0,西城,烧烤烤串
辣小二脆毛肚火锅(静海店),3.9,13,85.0,静海县城/东城,重庆火锅
陈记锅贴菜馆,3.6,6,,西城,生煎/锅贴
运河人家,3.7,15,,西城,家常菜
無佯酒馆,3.7,27,,静海县城/东城,其他美食
天龙缘美食汇,3.5,20,78.0,静海县城/东城,快餐简餐
老北京烤鸭(静海店),3.7,102,105.0,西城,烤鸭
东云阁酒店,3.8,17,55.0,静海区其他,其他美食
盛众饭店,3.7,23,,西城,天津菜
香满屯铁锅炖,3.8,8,,静海县城/东城,东北菜
小糖沫沫(中南君悦府店),3.7,3,,静海县城/东城,面包烘焙
大清八旗老北京火锅烧烤(团泊店),3.9,24,93.0,团泊湖/光合谷度假区,老北京火锅
家宴饭店,3.7,7,,静海县城/东城,其他中餐
长青饭店(新立大街店),3.6,6,,西城,家常菜
同心居饭庄,3.5,8,,西城,其他美食
步田的面包,3.9,19,,静海县城/东城,面包烘焙
