shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
1971•饭庄,3.6,3,,宝坻区,天津菜
愚公婆佳宴脆皮烤鸭,3.9,399,76.0,宝坻区,天津菜
枫火渔家铁锅炖(宝坻店),4.7,1621,61.0,宝坻区,东北菜
座上客·海鲜日料铁板自助餐厅(宝坻塞纳店),3.1,7,,宝坻区,自助餐
潮州酒家,3.7,115,121.0,京津新城,潮汕菜
Casablanca•Bar卡萨布兰卡 音乐酒吧,3.8,3,,宝坻区,东南亚菜
闽丰渔村,4.0,75,80.0,宝坻区,海鲜
九記港式打边炉,3.7,46,,宝坻区,打边炉/港式火锅
冬妮娅面包坊,0.0,,,宝坻区,面包烘焙
长城烤鸭店,3.7,70,70.0,宝坻区,烤鸭
奥多滋法国手工艺蛋糕(宝坻店),0.0,,,宝坻区,面包烘焙
钰华大酒店,3.8,152,215.0,宝坻区政府,其他中餐
胡胜锐辣椒炒肉(六中店),4.3,141,73.0,宝坻区,湘菜
津福虹蛋糕,0.0,,,宝坻区,面包烘焙
彤丽娅面包坊,0.0,,,宝坻区,面包烘焙
小猪查理(宝坻店),3.7,166,68.0,怡购商业广场,烧烤烤串
万鑫烤鸭店(步行街店),3.8,28,92.0,宝坻区政府,烤鸭
酥杨杨宫庭糕点(宝鑫店),0.0,,,宝坻区,面包烘焙
老杨山东大饼坊(五岔路口店),0.0,,,宝坻区,面包烘焙
巴蜀水乡,3.6,71,75.0,宝坻区,川菜馆
快乐小羊火锅料理(宝坻店),3.7,47,,宝坻区,牛羊肉火锅
乐芙lnjoy(宝坻店),0.0,,,宝坻区,面包烘焙
庞家湾牛庄·大牛慢炖筋头巴脑,4.2,317,71.0,宝坻区,牛羊肉火锅
留水席餐厅,3.7,10,,宝坻区,鲁菜
慕芝烘焙,0.0,,,宝坻区,面包烘焙
绝味坊猪肚鸡·广式火锅,4.0,15,,宝坻区,猪肚鸡火锅
津福虹,0.0,,,宝坻区,面包烘焙
京津新城温德姆至尊酒店(碧泉餐厅),3.5,38,141.0,京津新城,粤菜馆
