shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
裕和家宴,4.0,75,63.0,蓟县县城/国家地质公园,家常菜
海底捞火锅(州河湾店),4.4,112,95.0,蓟县县城/国家地质公园,四川火锅
吉祥阁秦记私房菜,3.7,6,,蓟县县城/国家地质公园,私房菜
千禧岛海鲜火锅,3.5,2,,蓟县县城/国家地质公园,海鲜火锅
半天妖烤鱼(蓟州万达广场店),4.7,145,68.0,蓟县县城/国家地质公园,烤鱼
喜山·民宿,3.7,7,,蓟州区其他,天津菜
春山里·eden食堂,3.8,52,58.0,蓟县县城/国家地质公园,特色菜
小猪查理(蓟州万达店),3.7,49,,蓟县县城/国家地质公园,烧烤烤串
荷塘月色鱼馆(于桥水库店总店),4.7,1301,73.0,蓟县县城/国家地质公园,天津菜
好酒不见小馆,3.8,7,61.0,蓟州区其他,私房菜
美味五福西点(蓟州区二店),3.5,1,,蓟县县城/国家地质公园,甜品
贤合庄卤味火锅(蓟州店),3.5,85,100.0,蓟县县城/国家地质公园,四川火锅
祖母的魔法厨房(蓟州万达店),3.9,68,81.0,蓟县县城/国家地质公园,西餐
筷乐食代妈妈菜,3.7,55,62.0,蓟县县城/国家地质公园,特色菜
超群水库活鱼馆(于桥水库店),4.8,1077,72.0,蓟县县城/国家地质公园,农家菜
不知山乡食餐厅,3.5,29,,蓟州区其他,其他中餐
花雕醉鸡(创业街店),4.6,523,44.0,蓟县县城/国家地质公园,特色菜
一头驴,3.7,7,,蓟县县城/国家地质公园,天津菜
福记满堂铁锅炖鱼(蓟州店),4.6,390,98.0,蓟县县城/国家地质公园,东北菜
百花食府,4.0,432,74.0,蓟县县城/国家地质公园,天津菜
泼水街云南菜(东风路店),4.2,119,75.0,蓟县县城/国家地质公园,云南菜|滇菜
崔记老东北铁锅炖鱼(西关店),4.6,393,96.0,西关,东北菜
璞峪·云璟,3.6,12,69.0,蓟县县城/国家地质公园,农家菜
石炮沟饭店,3.7,23,32.0,黄崖关长城,天津菜
东塔驴肉,4.2,147,99.0,蓟州区其他,特色菜
渝湘江南(州河湾店),4.2,508,57.0,蓟县县城/国家地质公园,川菜馆
福临门酒店,3.7,48,55.0,人民东大街,天津菜
三泉海中鲜海鲜加工零售广场(幸福时代店),3.5,22,140.0,蓟县县城/国家地质公园,海鲜
天津京蓟圣光温泉度假酒店·新粤楼餐厅,3.9,419,138.0,蓟县县城/国家地质公园,粤菜馆
青柠记忆泰式海鲜火锅(蓟州万达广场店),3.7,101,96.0,蓟县县城/国家地质公园,海鲜火锅
崔记老东北铁锅炖鱼(中昌南路店),4.3,546,92.0,蓟县县城/国家地质公园,东北菜
东来福水库活鱼馆(于桥水库店),4.8,767,73.0,蓟县县城/国家地质公园,农家菜
廣明府大酒店,3.7,14,,西关,私房菜
顺和源饭店,3.5,4,,蓟州区其他,其他中餐
淮扬福100号,3.5,22,,蓟县县城/国家地质公园,湘菜
会仙谷度假山庄餐厅,3.8,4,,盘山风景名胜区,天津菜
峪上酒家,4.1,40,46.0,蓟县县城/国家地质公园,家常菜
大自然山庄,3.4,14,120.0,黄崖关长城,天津菜
名扬水库鱼馆(翠屏湖店),4.8,1517,70.0,蓟县县城/国家地质公园,农家菜
米村拌饭(蓟州万达店),3.9,41,,蓟县县城/国家地质公园,韩国料理
宝鼎雅居农家院,3.9,5,,盘山风景名胜区,农家菜
囍久,3.7,6,,蓟县县城/国家地质公园,其他中餐
国民农家,3.6,7,,黄崖关长城,东北菜
东山村速起金源农家院,3.7,33,150.0,九山顶自然风景区,其他中餐
金台阶鱼馆(于桥水库店),4.8,646,63.0,蓟县县城/国家地质公园,天津菜
官庄集贸市场,3.7,20,,盘山风景名胜区,更多食品保健
王记港式地摊打边炉,3.4,2,,西关,打边炉/港式火锅
国深酒店,3.7,5,,蓟州区其他,天津菜
东山村九号院,3.9,22,,九山顶自然风景区,农家菜
西城根涮肉坊,3.9,4,,西关,老北京火锅
圣屹农家·水库活鱼,3.5,2,,蓟县县城/国家地质公园,农家菜
全顺斋清真饭店(人民东大街店),3.6,22,58.0,人民东大街,特色菜
志强客栈,3.7,16,,黄崖关长城,天津菜
清真穆湘斋农家院民宿,4.4,97,131.0,盘山风景名胜区,特色菜
星巴顿酒店,3.8,29,114.0,蓟县县城/国家地质公园,京菜
香相福肉饼店,4.0,139,43.0,蓟县县城/国家地质公园,小吃快餐
吉祥楼主题餐厅,4.2,440,51.0,西关,特色菜
半天妖烤鱼(蓟县鼓楼店),4.8,705,76.0,蓟县县城/国家地质公园,烤鱼
宏伟满堂农家院,3.5,2,,盘山风景名胜区,天津菜
京门老爆三,3.5,12,74.0,蓟县县城/国家地质公园,老北京火锅
德宜盛北京烤鸭(环岛店),3.5,1,,蓟县县城/国家地质公园,烤鸭
郭靖烤全羊(蓟州店),3.7,13,137.0,蓟州区其他,融合烤肉
飘香盒饭,3.5,1,,蓟县县城/国家地质公园,快餐简餐
聚贤山庄,3.5,23,,黄崖关长城,农家菜
清美轩清真农家院,3.7,24,190.0,盘山风景名胜区,农家菜
老苏厨味,3.6,32,82.0,蓟县县城/国家地质公园,创意菜
比格比萨自助(蓟州万达店),4.0,83,67.0,蓟县县城/国家地质公园,自助餐
雪域粗粮馆,3.9,143,76.0,蓟县县城/国家地质公园,特色菜
璞宿民宿农家院,3.8,32,,九山顶自然风景区,农家菜
九年蘑一面(蓟州店),3.5,2,,蓟县县城/国家地质公园,天津菜
虹海圣肉饼店,3.5,4,,蓟县县城/国家地质公园,京菜
福园酒店,3.5,3,,蓟县县城/国家地质公园,其他中餐
云川日料,3.4,35,138.0,蓟县县城/国家地质公园,日本料理
Hibi西餐吧 小酒馆,3.9,16,,蓟县县城/国家地质公园,牛排
驴福记驴肉馆,3.6,6,,蓟县县城/国家地质公园,其他中餐
大吉酒店,3.6,37,77.0,蓟县县城/国家地质公园,其他中餐
梨木台美地之家农家院,3.8,39,,九山顶自然风景区,农家菜
浩源酒家,3.6,7,,蓟州区其他,天津菜
泰德楼八大碗,3.8,14,,蓟县县城/国家地质公园,淮扬菜
若溪小院(九山顶吉姆冒险世界),3.5,33,172.0,蓟州区其他,天津菜
荷塘月色饭店(活鱼馆于桥水库盘山分店),4.5,838,70.0,盘山风景名胜区,农家菜
崔记老东北铁锅炖鱼(二六九店),4.4,376,79.0,人民东大街,东北菜
宴巴蜀全牛宴,3.6,4,,人民东大街,潮汕牛肉火锅
鑫年三十姚厨老菜馆,3.8,100,60.0,蓟县县城/国家地质公园,东北菜
伟纪农家(车神架店),3.8,4,,九山顶自然风景区,农家菜
春松阁大铜锅,3.5,3,,人民东大街,老北京火锅
树笙源民宿,3.5,3,,九山顶自然风景区,农家菜
福满阁民宿农家院吉姆冒险世界店,3.9,21,,九山顶自然风景区,农家菜
渔窝棚铁锅炖(蓟州店),3.8,141,59.0,蓟县县城/国家地质公园,东北菜
呷哺呷哺(鼓楼店),4.6,1234,53.0,渔阳鼓楼,小火锅
家合饭店(香林路店),3.6,3,,蓟县县城/国家地质公园,其他中餐
舒雅山庄,3.5,1,,盘山风景名胜区,天津菜
鱼酷活鱼烤鱼(天津蓟州南环万达店),4.5,181,87.0,蓟县县城/国家地质公园,烤鱼
浓乡情粗粮馆,3.5,66,57.0,蓟县县城/国家地质公园,天津菜
辣椒炒肉(蓟州店),3.5,32,76.0,渔阳鼓楼,湘菜
丽杰农家院,3.6,4,,蓟州区其他,素食
川骄火锅(蓟州店),3.7,1166,68.0,人民东大街,火锅
独白小酒馆,3.6,2,,蓟县县城/国家地质公园,其他中餐
九山顶福必居农家院,3.6,64,150.0,九山顶自然风景区,农家菜
唐弟食福轩,3.6,3,,黄崖关长城,其他中餐
天津蓟县栖息源农家院,3.8,5,,九山顶自然风景区,农家菜
胖生饭店,3.7,5,,蓟州区其他,农家菜
玺霖农家院,3.5,2,,蓟州区其他,其他美食
崔记老东北铁锅炖鱼(天一店),4.6,250,90.0,蓟县县城/国家地质公园,东北菜
蓟县盘山福春农家院,3.6,30,136.0,盘山风景名胜区,农家菜
学臣饭店,3.0,,,蓟州区其他,天津菜
鑫汇海鲜火锅(蓟州店),3.6,26,115.0,蓟县县城/国家地质公园,海鲜火锅
云梦新逸园农家,3.6,3,,九山顶自然风景区,农家菜
聚农庄民宿农家院,4.1,91,205.0,九山顶自然风景区,其他美食
晨光农家院,3.8,36,169.0,蓟州区其他,其他美食
