shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
津创九寸钉·料理级自助炭火烤肉(宁河吾悦店),4.0,185,,宁河区贸易开发区,自助餐
河蟹面(宁河店),3.6,8,,宁河区,面馆
大东北农家院(芦台店),4.0,133,64.0,镇政府,东北菜
金孔雀海鲜烤肉自助(商业道店),3.8,3356,64.0,商业道,自助餐
半天妖烤鱼(宁河吾悦广场店),4.0,152,,宁河区贸易开发区,烤鱼
鱼酷活鱼烤鱼(宁河吾悦店),4.0,112,82.0,宁河区贸易开发区,烤鱼
湘西人家(宁河店),0.0,,,宁河区,湘菜
犟霸牛排牛尾锅,0.0,,,商业道,牛排
刁馋一锅鲜(吾悦广场店),3.6,36,,宁河区贸易开发区,天津菜
满园春饼·烤鸭(吾悦广场店),3.8,76,63.0,宁河区贸易开发区,烤鸭
一亩海一分地(芦台店),3.5,2,,商业道,生鲜
半天妖烤鱼(宁河百荣店),4.8,442,73.0,商业道,烤鱼
芦台春生态园,4.8,374,96.0,宁河区,家常菜
悦沪小笼包(吾悦广场店),3.7,22,,宁河区贸易开发区,上海本帮菜
芳竹园火锅(宁河吾悦广场店),3.6,82,,宁河区贸易开发区,四川火锅
东燊饭庄,0.0,,,宁河区贸易开发区,私房菜
四间房私房菜(芦台店),3.8,73,54.0,镇政府,私房菜
8号车厢主题烤肉店(宁河店),3.5,72,,镇政府,融合烤肉
羊庄故事(芦台店),4.5,436,115.0,镇政府,牛羊肉火锅
妈妈菜三八河,0.0,,,商业道,东北菜
中和轩美食府(新华道店),3.9,30,119.0,商业道,天津菜
蓟州全驴宴·东塔驴肉(宁河店),3.7,3,,镇政府,其他中餐
火鳳祥鲜货火锅(宁河吾悦广场店),3.7,42,,宁河区贸易开发区,四川火锅
京北焖锅(吾悦广场店),3.7,47,,宁河区贸易开发区,焖锅
来三胖(吾悦广场店),0.0,,,宁河区贸易开发区,其他美食
富华渔村柴火炖(宁河店),3.9,13,,镇政府,东北菜
全牛道·川小馆乐山跷脚牛肉(宁河吾悦店),3.9,96,46.0,宁河区贸易开发区,川菜馆
珍不二·四川小吃集(宁河吾悦广场店),3.9,12,,宁河区,川菜馆
陈家屯火锅鸡(宁河店),3.6,6,,镇政府,炭火锅
椰壳食堂,0.0,,,镇政府,面包烘焙
哒蟹肉蟹煲,3.5,7,,宁河区,肉蟹煲
烧烤火锅,0.0,,,宁河区,火锅
刘老五饭店,3.7,6,82.0,镇政府,其他中餐
满湘楼,0.0,,,宁河区,湘菜
米一仙·成都小碗菜(吾悦广场店),3.0,21,,宁河区贸易开发区,川菜馆
北京果木烤鸭,0.0,,,镇政府,烤鸭
杨家屯铁锅炖,0.0,,,天津交通运输执法大队芦台中队,东北菜
市井烤肉(北淮淀店),3.5,1,,宁河区,融合烤肉
约个局儿火锅鸡,0.0,,,宁河区,火锅
铜锅涮肉(汉沽店),0.0,,,宁河区,老北京火锅
狮乎菓也点心局,3.9,29,,宁河区贸易开发区,面包烘焙
蜀庄火锅,4.0,10,,华翠公园,四川火锅
马路边边串串香(吾悦广场店),3.7,18,,宁河区贸易开发区,串串香
北塘渔村·鱼头泡饼·北京烤鸭(宁河店),3.1,2,,镇政府,烤鸭
胖子饭店(沿河路店),3.7,5,,镇政府,天津菜
民族饭店,0.0,,,镇政府,其他中餐
鲁西火锅店,0.0,,,宁河区,四川火锅
东北菜馆,0.0,,,宁河区,东北菜
川渝成都川菜馆,0.0,,,宁河区,川菜馆
老街称盘麻辣烫(宁河百荣店),3.7,10,,商业道,麻辣烫
巴蜀水岸(芦台分店),3.8,177,56.0,商业道,火锅
老北京小李冰糖葫芦(大陈路店),0.0,,,宁河区,老北京火锅
大迎麻辣香锅网红美食城,0.0,,,宁河区,干锅/香锅
秘制酱骨,0.0,,,宁河区,东北菜
旺小巷·四川小吃集(宁河吾悦广场店),3.8,56,,宁河区贸易开发区,川菜馆
辣小二脆毛肚火锅(宁河吾悦广场店),3.7,42,,宁河区贸易开发区,重庆火锅
鸿顺和,3.8,34,107.0,宁海花园,海鲜
林海人家家常菜馆(宁河湾店),3.5,2,,宁河区,家常菜
沿河路海鲜,0.0,,,镇政府,海鲜
双沟珍宝坊海鲜鱼锅,0.0,,,镇政府,海鲜
啃壹碗羊棒骨,0.0,,,镇政府,打边炉/港式火锅
霹雳哥现捞热卤火锅(宁河店),3.5,48,75.0,镇政府,重庆火锅
华泰饭庄,3.9,53,100.0,镇政府,天津菜
小糖沫沫(吾悅广场店),3.7,6,,宁河区贸易开发区,面包烘焙
米村拌饭(天津宁河吾悦店),3.7,18,,宁河区贸易开发区,韩国料理
小牛哈尼·章鱼水煎肉(宁河吾悦广场店),3.8,145,63.0,宁河区贸易开发区,韩式烤肉
和硕蝎王府,4.1,122,84.0,镇政府,羊蝎子火锅
世纪香川菜馆,0.0,,,宁河区,川菜馆
