shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
津门八大碗,4.5,1011.0,63.0,小白楼,天津菜,和平区
陆壹捌餐厅(五大道店),4.7,5459.0,134.0,五大道,天津菜,和平区
乾宫精致私房菜(五大道店),4.8,2457.0,93.0,五大道,私房菜,和平区
南洋餐室(开封道店),4.8,4284.0,58.0,小白楼,南洋中菜,和平区
清鲜境意创意菜(南京路店),4.9,660.0,99.0,海光寺/六里台,创意菜,和平区
云杉·木槿(五大道店),4.9,4645.0,131.0,五大道,西餐,和平区
老酥匠·天津民间菜·烤肘子(安徽路店),4.7,2378.0,77.0,小白楼,天津菜,和平区
肘子酥(同安道店),4.4,814.0,61.0,西康路沿线,天津菜,和平区
泰钰丰烤鸭(金融街店),4.9,3550.0,109.0,海光寺/六里台,天津菜,和平区
徽菜名门(南市店),4.3,89.0,98.0,南市,徽菜,和平区
侘寂国宴私房菜,4.9,581.0,1307.0,和平路,私房菜,和平区
乾园(天河城店),4.7,11138.0,86.0,和平路,苏浙菜,和平区
那家·油麻菜馆(海光寺店),4.8,446.0,96.0,海光寺/六里台,广州菜,和平区
上海年代(湖北路店),4.6,4081.0,96.0,小白楼,上海本帮菜,和平区
金牌餐厅(营口道店),4.5,4130.0,67.0,滨江道,天津菜,和平区
九河香舍·民国文人菜(五大道店),4.8,4639.0,134.0,五大道,天津菜,和平区
遇见芸台(先农大院店),4.8,3117.0,127.0,五大道,私房菜,和平区
锦楼 Seafood&Bar(五大道店),4.8,2211.0,162.0,五大道,创意菜,和平区
郝奕博狮子头(南市店),4.8,950.0,62.0,南市,天津菜,和平区
娜娜家·nana's restaurant(和平伊势丹店),4.9,8630.0,110.0,滨江道,西餐,和平区
青年公社(国贸店),4.9,2598.0,95.0,小白楼,烤鸭,和平区
19号私房菜(云南路店),4.5,2348.0,78.0,五大道,私房菜,和平区
汉巴味德(乐宾店),4.8,10045.0,92.0,滨江道,自助餐,和平区
大來食堂·新派津菜,4.6,264.0,88.0,西康路沿线,天津菜,和平区
六小馆·潮味酒馆(五大道店),4.8,1707.0,78.0,五大道,创意菜,和平区
俄士厨房(天河城店),4.9,5161.0,116.0,和平路,西餐,和平区
山河屯铁锅炖(万德庄店),4.3,205.0,84.0,海光寺/六里台,东北菜,和平区
南京大牌档(小白楼国贸店),4.8,14884.0,67.0,小白楼,淮扬菜,和平区
晚酌·惜竹境,4.6,193.0,84.0,和平路,创意菜,和平区
老廣味道·正味粤菜,4.6,388.0,107.0,南市,广州菜,和平区
乡悦天下(海光寺店),4.9,3889.0,109.0,海光寺/六里台,湘菜,和平区
昱德来酒楼(南市店),4.4,4348.0,78.0,南市,天津菜,和平区
先启半步颠小酒馆(滨江道店),4.8,513.0,79.0,滨江道,川菜馆,和平区
津门羊大爷·铜锅涮肉(昆明路店),4.7,1833.0,86.0,西康路沿线,老北京火锅,和平区
兰亭轩,4.5,617.0,136.0,海光寺/六里台,天津菜,和平区
八一三鸭子楼(和平店),4.0,1312.0,65.0,西康路沿线,天津菜,和平区
乾园(世纪都会店),4.8,8970.0,82.0,滨江道,苏浙菜,和平区
2020清真菜,4.8,332.0,59.0,海光寺/六里台,特色菜,和平区
天津第一饭店·口口福酒楼,4.4,335.0,76.0,小白楼,天津菜,和平区
郝炉烤鸭(南市店),4.7,1219.0,103.0,南市,烤鸭,和平区
贰楼小院(劲松里店),4.8,5611.0,118.0,滨江道,私房菜,和平区
La Rossa花·蒔(天河城店),4.9,563.0,132.0,和平路,西餐,和平区
六小馆·老味酒馆(四平东道店),4.8,1653.0,79.0,滨江道,私房菜,和平区
九寸钉·灼自助烤肉黑金概念店(和平大悦城店),4.6,2882.0,87.0,滨江道,自助餐,和平区
